LABEL,CATEGORY,FLOWIAT_MEAN,FLOWIAT_MIN,FLOWIAT_MAX,FLOWIAT_STD,FIAT_MEAN,FIAT_MIN,FIAT_MAX,FIAT_STD,BIAT_MEAN,BIAT_MIN,BIAT_MAX,BIAT_STD,ACTIVE_MEAN,ACTIVE_MIN,ACTIVE_MAX,ACTIVE_STD,IDLE_MEAN,IDLE_MIN,IDLE_MAX,IDLE_STD,DURATION,FB_PSEC,FP_SEC,FIRST_PACKET_DIR_0,FIRST_PACKET_DIR_1,FIRST_PACKET_DIR_2,FIRST_PACKET_DIR_3,FIRST_PACKET_DIR_4,FIRST_PACKET_DIR_5,FIRST_PACKET_DIR_6,FIRST_PACKET_DIR_7,FIRST_PACKET_DIR_8,FIRST_PACKET_DIR_9,INCOMING_BURSTS_MEAN,INCOMING_BURSTS_COUNT,INCOMING_BURSTS_LONGEST,OUTGOING_BURSTS_MEAN,OUTGOING_BURSTS_COUNT,OUTGOING_BURSTS_LONGEST,FIRST_INCOMING_BURST_0,FIRST_INCOMING_BURST_1,FIRST_INCOMING_BURST_2,FIRST_INCOMING_BURST_3,FIRST_INCOMING_BURST_4,FIRST_INCOMING_BURST_5,FIRST_INCOMING_BURST_6,FIRST_INCOMING_BURST_7,FIRST_INCOMING_BURST_8,FIRST_INCOMING_BURST_9,FIRST_OUTGOING_BURST_0,FIRST_OUTGOING_BURST_1,FIRST_OUTGOING_BURST_2,FIRST_OUTGOING_BURST_3,FIRST_OUTGOING_BURST_4,FIRST_OUTGOING_BURST_5,FIRST_OUTGOING_BURST_6,FIRST_OUTGOING_BURST_7,FIRST_OUTGOING_BURST_8,FIRST_OUTGOING_BURST_9,SIZE_583,SIZE_595,SIZE_1500,SIZE_1097,SIZE_1138,SIZE_1109,SIZE_151,SIZE_1126,SIZE_233,TOT_IN_PACKETS,TOT_OUT_PACKETS,TOT_PACKETS,TOT_BYTES,IP_SRC,IP_DST
dailymotion,streaming,0.02651588495575221,0.000064,2.251080,0.17116034922055343,0.2582258965517241,0.000099,3.810847,0.622081797256895,0.02829610059171598,0.000064,2.271099,0.18886886392303434,6.3651975,1.151836,11.578559,5.2133615,2.25108,2.251080,2.251080,0.0,14.981475,52724.38127754443404270941279,37.71324252118032436726023305,1,1,1,1,-1,-1,1,-1,-1,1,16.258064516129032,31,56,3.1818181818181817,11,5,2,2,5,10,19,56,21,23,23,21,4,4,2,2,5,2,2,2,4,4,32,1,487,4,0,0,3,5,1,507,58,565,789889,192.168.37.39,94.23.150.81
dailymotion,streaming,0.015029608548931383,0.000090,2.394716,0.12974791584009313,0.21550519354838707,0.000110,2.539080,0.5273337601339964,0.013037139056831924,0.000090,3.079922,0.14946206224926414,5.483302999999999,0.006514,10.960092,5.476789,2.394716,2.394716,2.394716,0.0,13.361322,98578.41911152204849190821088,66.53533235708262999724129094,1,1,1,1,1,-1,-1,-1,-1,-1,18.355555555555554,45,38,4.0,5,6,11,18,21,30,22,21,23,24,25,26,5,4,3,6,2,0,0,0,0,0,18,2,798,0,1,0,1,19,0,827,62,889,1317138,192.168.37.39,94.23.150.81
dailymotion,streaming,0.023845095389507152,0.000092,2.980418,0.17888505955486164,0.26718180357142857,0.000092,3.463471,0.7296388456739212,0.02525542582897033,0.000124,3.222348,0.1951525243494298,3.241193666666667,0.664405,7.841922,3.2610260555079216,2.637492,2.294566,2.980418,0.34292599999999984,14.998565,59422.21805886096436559097487,41.93734533937079980651482325,1,1,1,-1,-1,-1,1,1,1,-1,17.78125,32,49,3.857142857142857,7,7,3,22,18,19,20,22,23,49,23,2,3,3,7,2,4,4,4,0,0,0,23,0,556,2,0,0,1,10,1,573,56,629,891248,192.168.37.39,94.23.150.81
dailymotion,streaming,0.012002968321013727,0.000090,4.349702,0.181582192851087,0.24089106382978723,0.000134,7.955563,1.139192056866422,0.012629789999999998,0.000110,4.349702,0.19490921254965896,1.170166,0.043431,2.025019,0.8315097180746998,3.9281565,3.506611,4.349702,0.4215454999999999,11.366811,121798.8932867802587726671975,83.31272509061688454219921489,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20.454545454545453,44,45,2.0,4,2,12,28,28,32,17,20,13,9,31,16,2,2,2,2,0,0,0,0,0,0,11,0,878,0,1,0,1,12,0,900,47,947,1384465,192.168.37.39,94.23.150.81
dailymotion,streaming,0.022121294117647062,0.000101,5.944565,0.2665340320928388,0.33427733333333337,0.000117,6.031192,1.0037113455041633,0.018627974803149604,0.000101,9.225608,0.3658229425057493,3.1506445,2.214060,4.087229,0.9365844999999999,4.3705955,2.796626,5.944565,1.5739695,15.042480,65492.92403912120873685722035,45.20531189006068148337242263,1,1,1,-1,-1,-1,-1,-1,-1,-1,19.75,32,39,4.0,3,7,10,20,28,9,27,39,4,25,17,18,3,2,7,0,0,0,0,0,0,0,19,0,618,0,0,0,2,10,0,635,45,680,985176,192.168.37.39,94.23.150.81
dailymotion,streaming,0.012461044247787613,0.000121,6.392856,0.2278475464765084,0.23886395121951215,0.000124,6.902354,1.055500028909266,0.013061769333333332,0.000121,6.392856,0.23453651436652417,1.7319149999999999,0.869632,2.594198,0.862283,6.392856,6.392856,6.392856,0.0,9.856686,115565.3127227548894222662668,80.25009622909769064369099310,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20.77777777777778,36,48,2.0,3,2,27,28,48,2,33,7,17,2,35,35,2,2,2,0,0,0,0,0,0,0,15,0,730,1,0,0,2,6,0,750,41,791,1139091,192.168.37.39,94.23.150.81
dailymotion,streaming,0.013533711632453567,0.000088,2.557312,0.13539955165694312,0.2298952833333333,0.000093,3.839340,0.635718513236115,0.012140225337487017,0.000088,3.976812,0.16174259637263289,2.9471353333333337,1.770682,3.877330,0.8774865420268406,2.5017905000000003,2.446269,2.557312,0.0555215,13.844987,107079.9849794008473969675811,73.88956017076794654989564093,1,1,1,-1,-1,-1,-1,-1,-1,-1,23.4390243902439,41,46,2.5454545454545454,11,5,30,31,27,5,36,46,35,3,5,22,3,2,2,3,3,5,2,2,2,2,12,0,948,0,1,0,1,10,2,963,60,1023,1482521,192.168.37.39,94.23.150.81
dailymotion,streaming,0.01201716518298714,0.000108,6.562072,0.2117776842971761,0.22811215094339624,0.000108,6.781222,0.9354473501022174,0.011148053235908138,0.000115,6.949278,0.22455792760432236,2.793641,2.154969,3.432313,0.6386720000000001,6.562072,6.562072,6.562072,0.0,12.149354,122363.1314059990350104211302,83.21430094143277082880291413,1,1,-1,-1,-1,-1,-1,-1,-1,-1,22.785714285714285,42,61,2.0,10,2,12,14,46,11,39,37,18,13,37,38,2,2,2,2,2,2,2,2,2,2,10,0,929,1,0,0,2,8,0,958,53,1011,1486633,192.168.37.39,94.23.150.81
dailymotion,streaming,0.03495,0.000093,4.894974,0.3374448160372327,0.5182381724137932,0.000146,4.894974,1.2479323504619917,0.021533297029702973,0.000093,4.236997,0.25067962909538916,1.1784773333333334,0.585035,2.240424,0.7526399839207469,3.8659726666666674,2.597132,4.894974,0.9532966112745579,15.133350,43290.21664073057188263008521,28.61230329041487839771101574,1,1,1,1,1,1,1,-1,-1,-1,26.866666666666667,15,43,3.6,5,7,13,20,34,41,38,16,29,39,16,43,7,2,4,2,3,0,0,0,0,0,6,0,394,0,0,0,1,3,0,404,29,433,655126,192.168.37.39,94.23.150.81
dailymotion,streaming,0.01192477482792527,0.000083,2.506254,0.1120150721156013,0.19875895081967215,0.000101,3.433314,0.5328693506411636,0.012681222803347278,0.000083,4.809326,0.16895668080804344,4.810620999999999,3.498563,6.122679,1.312058,2.506254,2.506254,2.506254,0.0,12.127496,122760.8733080596357236481463,83.85902580384277183022777332,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,18.745098039215687,51,39,2.4285714285714284,7,4,3,19,17,25,34,28,15,13,13,11,2,4,2,3,2,2,2,0,0,0,24,2,943,3,0,0,2,19,0,956,61,1017,1488782,192.168.37.39,94.23.150.81
