LABEL,CATEGORY,FLOWIAT_MEAN,FLOWIAT_MIN,FLOWIAT_MAX,FLOWIAT_STD,FIAT_MEAN,FIAT_MIN,FIAT_MAX,FIAT_STD,BIAT_MEAN,BIAT_MIN,BIAT_MAX,BIAT_STD,ACTIVE_MEAN,ACTIVE_MIN,ACTIVE_MAX,ACTIVE_STD,IDLE_MEAN,IDLE_MIN,IDLE_MAX,IDLE_STD,DURATION,FB_PSEC,FP_SEC,FIRST_PACKET_DIR_0,FIRST_PACKET_DIR_1,FIRST_PACKET_DIR_2,FIRST_PACKET_DIR_3,FIRST_PACKET_DIR_4,FIRST_PACKET_DIR_5,FIRST_PACKET_DIR_6,FIRST_PACKET_DIR_7,FIRST_PACKET_DIR_8,FIRST_PACKET_DIR_9,INCOMING_BURSTS_MEAN,INCOMING_BURSTS_COUNT,INCOMING_BURSTS_LONGEST,OUTGOING_BURSTS_MEAN,OUTGOING_BURSTS_COUNT,OUTGOING_BURSTS_LONGEST,FIRST_INCOMING_BURST_0,FIRST_INCOMING_BURST_1,FIRST_INCOMING_BURST_2,FIRST_INCOMING_BURST_3,FIRST_INCOMING_BURST_4,FIRST_INCOMING_BURST_5,FIRST_INCOMING_BURST_6,FIRST_INCOMING_BURST_7,FIRST_INCOMING_BURST_8,FIRST_INCOMING_BURST_9,FIRST_OUTGOING_BURST_0,FIRST_OUTGOING_BURST_1,FIRST_OUTGOING_BURST_2,FIRST_OUTGOING_BURST_3,FIRST_OUTGOING_BURST_4,FIRST_OUTGOING_BURST_5,FIRST_OUTGOING_BURST_6,FIRST_OUTGOING_BURST_7,FIRST_OUTGOING_BURST_8,FIRST_OUTGOING_BURST_9,SIZE_583,SIZE_595,SIZE_1500,SIZE_1097,SIZE_1138,SIZE_1109,SIZE_151,SIZE_1126,SIZE_233,TOT_IN_PACKETS,TOT_OUT_PACKETS,TOT_PACKETS,TOT_BYTES,IP_SRC,IP_DST
dailymotion,streaming,0.6655619939168295,0.00010418891906738281,3.876075029373169,1.4364161134949278,0.0,0.0,0.0,0.0,0.6655619939168295,0.00010418891906738281,3.876075029373169,1.4364161134949278,0.05864846706390381,0.00045800209045410156,0.11683893203735352,0.05819046497344971,3.876075029373169,3.876075029373169,3.876075029373169,0.0,3.9933719635009766,875.9514595613364,1.5024896390417433,-1,-1,-1,-1,-1,-1,0,0,0,0,6.0,1,6,0.0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,6,3498,192.168.37.39,94.23.150.81
dailymotion,streaming,0.6976510882377625,5.888938903808594e-05,6.663480997085571,1.8300104635501409,1.395302176475525,0.00010704994201660156,6.847522974014282,2.4883564166086307,1.1868104934692383,5.888938903808594e-05,6.795830011367798,2.5112259477180947,0.8541660308837891,0.13637900352478027,1.5719530582427979,0.7177870273590088,6.663480997085571,6.663480997085571,6.663480997085571,0.0,8.37181305885315,1229.3633323687588,1.4333812658788483,1,-1,-1,-1,-1,1,1,1,-1,1,4.0,1,4,3.0,1,3,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,2,6,6,12,10292,192.168.37.39,94.23.150.81
dailymotion,streaming,0.021374099365266568,8.20159912109375e-05,2.3970248699188232,0.11236498396307312,0.054719247679779495,0.00013208389282226562,0.3589768409729004,0.06059296519571128,0.03015274731885819,8.20159912109375e-05,2.547353982925415,0.14390314997703177,3.8671491146087646,0.13811707496643066,7.596181154251099,3.729032039642334,2.3970248699188232,2.3970248699188232,2.3970248699188232,0.0,10.131323099136353,62568.82677584702,46.78559704017398,-1,-1,1,1,1,1,-1,-1,-1,1,7.090909090909091,44,27,3.3666666666666667,30,10,2,3,4,3,13,2,3,5,11,2,4,2,2,5,2,5,6,4,2,4,55,0,344,4,1,0,0,6,2,336,138,474,633905,192.168.37.39,94.23.150.81
dailymotion,streaming,0.009249207049360107,8.296966552734375e-05,0.7307250499725342,0.033254858404180306,0.10582372193695397,0.00011110305786132812,0.7307250499725342,0.10633584772479457,0.010119830789836312,8.296966552734375e-05,0.8807001113891602,0.04300922031220646,9.998392820358276,9.998392820358276,9.998392820358276,0.0,0.0,0.0,0.0,0.0,9.998392820358276,165612.21685833554,108.11737640462741,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13.534246575342467,73,34,4.0,7,9,17,15,17,13,34,13,15,18,11,24,3,2,9,2,4,3,5,0,0,0,41,3,941,1,3,0,4,14,1,988,93,1081,1655856,192.168.37.39,94.23.150.81
dailymotion,streaming,0.01611316801080411,0.0001239776611328125,0.49272799491882324,0.04008191062598752,0.15409448742866516,0.00017404556274414062,0.8357410430908203,0.13782009984492893,0.01797126306069864,0.0001239776611328125,0.8808019161224365,0.056781584397382484,9.974050998687744,9.974050998687744,9.974050998687744,0.0,0.0,0.0,0.0,0.0,9.974050998687744,92107.00848841338,62.061042206565816,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,10.054545454545455,55,28,3.0,4,6,4,8,9,12,12,17,6,6,24,5,6,2,2,2,0,0,0,0,0,0,34,8,525,0,0,0,1,4,0,555,64,619,918680,192.168.37.39,94.23.150.81
dailymotion,streaming,0.013191713578504972,8.20159912109375e-05,0.25546884536743164,0.02768825619384431,0.14912572774020108,0.0026121139526367188,0.44315314292907715,0.1070674353968632,0.014457197729931322,8.20159912109375e-05,0.35726499557495117,0.033280424971773685,9.946552038192749,9.946552038192749,9.946552038192749,0.0,0.0,0.0,0.0,0.0,9.946552038192749,113175.19836799004,75.80516314646447,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,11.844827586206897,58,38,2.3333333333333335,6,3,8,6,22,3,4,10,8,27,5,19,2,2,2,2,3,3,0,0,0,0,41,3,642,2,0,0,0,9,0,688,66,754,1125703,192.168.37.39,94.23.150.81
dailymotion,streaming,0.014200235712088265,0.00010585784912109375,1.8019828796386719,0.08130832253434014,0.15081498256096473,0.00010585784912109375,1.8019828796386719,0.25310668633888095,0.015628499265335053,0.00010704994201660156,1.9526050090789795,0.0940207073197661,8.079934120178223,8.079934120178223,8.079934120178223,0.0,0.0,0.0,0.0,0.0,8.079934120178223,106186.26182326784,70.42136625582404,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12.585365853658537,41,30,4.666666666666667,3,7,11,14,8,17,10,9,19,12,9,8,7,5,2,0,0,0,0,0,0,0,32,3,484,0,0,1,1,5,1,517,52,569,857978,192.168.37.39,94.23.150.81
dailymotion,streaming,0.022113510992674702,9.393692016601562e-05,2.2090179920196533,0.1666552666936268,0.22716606747020374,9.393692016601562e-05,4.0929741859436035,0.6597703703011525,0.01875118414560954,0.00011897087097167969,2.231328010559082,0.14613330988514092,1.9213606516520183,0.00017690658569335938,3.6928060054779053,1.5112232583473193,2.115612506866455,2.022207021713257,2.2090179920196533,0.09340548515319824,9.995306968688965,67182.32887729694,45.221222461293415,1,1,-1,-1,1,1,1,1,-1,-1,12.71875,32,31,3.0,5,4,2,9,12,9,8,9,31,12,12,12,2,4,4,3,2,0,0,0,0,0,23,2,393,0,1,0,2,6,1,408,44,452,671508,192.168.37.39,94.23.150.81
dailymotion,streaming,0.011350141252790179,8.58306884765625e-05,0.15644407272338867,0.023121754221631527,0.12424251145007563,0.00010704994201660156,0.36971092224121094,0.09225138215636566,0.012459546034837284,8.58306884765625e-05,0.21093511581420898,0.02649867085673532,6.3560791015625,6.3560791015625,6.3560791015625,0.0,0.0,0.0,0.0,0.0,6.3560791015625,130456.05423572568,88.10463039428451,-1,-1,-1,1,1,1,1,-1,-1,-1,11.28888888888889,45,33,3.5,2,4,3,5,9,13,33,4,7,11,19,17,4,3,0,0,0,0,0,0,0,0,34,3,488,0,0,0,0,2,0,509,51,560,829189,192.168.37.39,94.23.150.81
dailymotion,streaming,0.019340216306468736,9.083747863769531e-05,2.666558027267456,0.17817794061491368,0.256381841806265,0.00015997886657714844,2.666558027267456,0.605868164963513,0.00643309439575323,9.083747863769531e-05,0.14883089065551758,0.01515786484932655,2.3925293684005737,0.00018477439880371094,4.784873962402344,2.39234459400177,5.2138330936431885,5.2138330936431885,5.2138330936431885,0.0,9.998891830444336,75751.39453892272,51.70572987156971,1,1,-1,1,1,1,1,-1,-1,-1,17.035714285714285,28,38,3.25,4,5,14,16,11,9,16,26,11,13,8,16,2,4,2,5,0,0,0,0,0,0,19,2,472,0,1,0,2,4,0,478,39,517,757430,192.168.37.39,94.23.150.81
