LABEL,CATEGORY,FLOWIAT_MEAN,FLOWIAT_MIN,FLOWIAT_MAX,FLOWIAT_STD,FIAT_MEAN,FIAT_MIN,FIAT_MAX,FIAT_STD,BIAT_MEAN,BIAT_MIN,BIAT_MAX,BIAT_STD,ACTIVE_MEAN,ACTIVE_MIN,ACTIVE_MAX,ACTIVE_STD,IDLE_MEAN,IDLE_MIN,IDLE_MAX,IDLE_STD,DURATION,FB_PSEC,FP_SEC,FIRST_PACKET_DIR_0,FIRST_PACKET_DIR_1,FIRST_PACKET_DIR_2,FIRST_PACKET_DIR_3,FIRST_PACKET_DIR_4,FIRST_PACKET_DIR_5,FIRST_PACKET_DIR_6,FIRST_PACKET_DIR_7,FIRST_PACKET_DIR_8,FIRST_PACKET_DIR_9,INCOMING_BURSTS_MEAN,INCOMING_BURSTS_COUNT,INCOMING_BURSTS_LONGEST,OUTGOING_BURSTS_MEAN,OUTGOING_BURSTS_COUNT,OUTGOING_BURSTS_LONGEST,FIRST_INCOMING_BURST_0,FIRST_INCOMING_BURST_1,FIRST_INCOMING_BURST_2,FIRST_INCOMING_BURST_3,FIRST_INCOMING_BURST_4,FIRST_INCOMING_BURST_5,FIRST_INCOMING_BURST_6,FIRST_INCOMING_BURST_7,FIRST_INCOMING_BURST_8,FIRST_INCOMING_BURST_9,FIRST_OUTGOING_BURST_0,FIRST_OUTGOING_BURST_1,FIRST_OUTGOING_BURST_2,FIRST_OUTGOING_BURST_3,FIRST_OUTGOING_BURST_4,FIRST_OUTGOING_BURST_5,FIRST_OUTGOING_BURST_6,FIRST_OUTGOING_BURST_7,FIRST_OUTGOING_BURST_8,FIRST_OUTGOING_BURST_9,SIZE_583,SIZE_595,SIZE_1500,SIZE_1097,SIZE_1138,SIZE_1109,SIZE_151,SIZE_1126,SIZE_233,TOT_IN_PACKETS,TOT_OUT_PACKETS,TOT_PACKETS,TOT_BYTES,IP_SRC,IP_DST
facebook,web_and_social,0.021661592972181554,0.000123,3.083755,0.1534523875643958,0.19993064864864865,0.000155,3.083755,0.44298759197773013,0.018362991789819375,0.000123,3.471395,0.1521632600478051,5.8555565000000005,4.414464,7.296649,1.4410925000000003,3.083755,3.083755,3.083755,0.0,14.794868,63479.78231370499554304911676,46.16465655523253063156764900,1,-1,-1,1,1,1,-1,-1,-1,-1,12.872340425531915,47,25,3.0,11,6,2,9,15,14,12,20,17,15,9,20,3,2,3,2,2,2,2,6,2,6,42,0,563,3,0,0,1,9,2,609,74,683,939175,192.168.37.39,94.23.150.81
facebook,web_and_social,0.7628841578947367,0.000241,3.005207,1.0064233672772667,1.594300111111111,0.055412,3.178172,1.3488249830474626,1.0538442000000001,0.000241,4.274949,1.674615585869354,1.1081857499999999,0.055412,2.696012,1.0390748376706018,2.515514,2.019705,3.005207,0.4149803840719462,14.494799,1047.893109797521166040315564,1.310815003367759704705115262,1,1,1,-1,-1,-1,-1,1,1,-1,3.0,3,4,2.6666666666666665,3,3,4,3,2,0,0,0,0,0,0,0,3,2,3,0,0,0,0,0,0,0,11,0,0,8,0,0,0,0,0,10,9,19,15189,192.168.37.39,94.23.150.81
facebook,web_and_social,0.6636109545454546,0.000143,3.022100,0.9877343806027866,1.2974631818181819,0.000143,4.213810,1.5123300229334156,1.0682412727272728,0.000774,5.962597,1.7872937711399977,1.3614746666666668,0.579925,2.818046,1.0308692417930068,3.505005666666667,2.162334,5.742628,1.5927604556103916,14.599441,1087.781374643042839790920762,1.506907011028709934852985125,1,1,-1,1,1,-1,1,-1,-1,-1,4.0,2,4,3.0,3,5,4,4,0,0,0,0,0,0,0,0,2,2,5,0,0,0,0,0,0,0,14,0,2,4,0,0,1,0,0,11,11,22,15881,192.168.37.39,94.23.150.81
facebook,web_and_social,0.15109283529411766,0.000138,4.883812,0.5919801659462794,0.5305744285714284,0.000147,5.229660,1.1814428222036117,0.19421990625,0.000138,6.964352,0.8906420848523363,3.9795395000000005,2.046676,5.912403,1.9328635,4.883812,4.883812,4.883812,0.0,12.842891,7544.485116318436401897360960,6.618447513102774133954730286,-1,-1,-1,-1,1,-1,-1,1,1,-1,6.0,10,21,2.75,4,5,4,2,2,2,8,12,21,3,3,3,2,5,2,2,0,0,0,0,0,0,24,0,43,7,0,0,0,2,0,64,21,85,96893,192.168.37.39,94.23.150.81
facebook,web_and_social,0.020206651558073652,0.000092,1.882423,0.09816149362035727,0.14770314583333333,0.000092,1.882423,0.2787243918107089,0.019487337704918034,0.000167,1.378353,0.08521750272802359,14.265896,14.265896,14.265896,0.0,0.0,0,0,0.0,14.265896,66658.13349543554782678914805,49.48865462078231889535715107,1,1,1,1,1,1,1,1,1,1,10.872727272727273,55,38,3.4166666666666665,12,11,9,17,8,11,3,6,3,21,19,19,11,2,5,3,5,2,2,3,2,2,66,0,561,5,0,0,0,8,4,610,96,706,950938,192.168.37.39,94.23.150.81
facebook,web_and_social,0.09295726206896551,0.000122,3.222866,0.36315885139711135,0.4478432666666666,0.000174,3.222866,0.7360163289751541,0.09767806956521737,0.000122,5.617426,0.5528563830226612,2.731215,0.054483,5.371439,2.170791699208993,2.6425789999999996,2.062292,3.222866,0.580287,13.478803,13217.34578359814295082434249,10.75763181641574552280347150,1,1,1,1,-1,-1,-1,1,1,1,8.461538461538462,13,24,3.0,6,4,3,7,11,3,8,11,13,24,4,8,4,3,2,3,4,2,0,0,0,0,25,0,94,4,0,0,1,4,0,115,30,145,178154,192.168.37.39,94.23.150.81
facebook,web_and_social,0.02367017781690141,0.000102,9.011776,0.38044283631102654,0.065801,0.000156,0.346455,0.06478957848485277,0.025902233140655102,0.000117,9.011776,0.40003413351963235,4.432885,4.432885,4.432885,0.0,9.011776,9.011776,9.011776,0.0,13.444661,60172.65887180048645332150807,42.24725338928218420680149540,-1,-1,-1,1,1,1,1,-1,-1,-1,13.972972972972974,37,30,3.5,4,4,3,10,14,16,18,25,2,23,6,13,4,3,3,4,0,0,0,0,0,0,20,0,505,0,1,0,0,2,0,519,49,568,809001,192.168.37.39,94.23.150.81
facebook,web_and_social,0.24454446551724138,0.000133,5.413108,0.8860404729427785,1.181452,0.054738,5.413108,1.6459441748105657,0.2053931086956522,0.000134,7.862031,1.1526826045825758,0.9854773333333333,0.054738,1.819315,0.7236368550520044,5.613573499999999,3.579923,7.647224,2.0336505,14.183579,5027.221972676994995409832737,4.089235869169551634323043570,1,1,1,1,1,1,-1,-1,-1,-1,9.2,5,24,4.5,2,6,11,24,7,2,2,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,16,0,36,1,0,0,0,1,0,46,12,58,71304,192.168.37.39,94.23.150.81
facebook,web_and_social,0.26880634615384613,0.000129,2.132703,0.5286869107822295,1.0752253846153847,0.052093,3.120694,1.1594162463351008,0.32866523076923077,0.000314,3.396410,0.756847900925006,5.9226135,5.652949,6.192278,0.2696645000000002,2.132703,2.132703,2.132703,0.0,13.977930,4097.030103885196162808083887,3.720150265454183845533637670,1,-1,-1,-1,1,-1,1,1,1,-1,6.166666666666667,6,20,2.3333333333333335,3,3,3,2,20,4,4,4,0,0,0,0,3,2,2,0,0,0,0,0,0,0,15,0,24,9,0,0,0,0,0,39,13,52,57268,192.168.37.39,94.23.150.81
facebook,web_and_social,0.13543125252525257,0.000214,2.825533,0.4293335478949055,0.7056681052631578,0.054798,2.931272,0.9002331384305485,0.129060975,0.000214,3.997614,0.6323421128409245,2.8582036666666664,2.492664,3.254710,0.31187361474624453,2.4165415,2.007550,2.825533,0.40899149999999995,13.407694,9146.912213241143480750679423,7.383820066299245791259854230,1,1,1,1,1,-1,-1,-1,-1,-1,10.0,8,21,3.5,4,5,15,21,9,7,2,10,14,2,0,0,5,2,4,3,0,0,0,0,0,0,18,0,64,4,0,0,0,2,0,80,19,99,122639,192.168.37.39,94.23.150.81
