LABEL,CATEGORY,FLOWIAT_MEAN,FLOWIAT_MIN,FLOWIAT_MAX,FLOWIAT_STD,FIAT_MEAN,FIAT_MIN,FIAT_MAX,FIAT_STD,BIAT_MEAN,BIAT_MIN,BIAT_MAX,BIAT_STD,ACTIVE_MEAN,ACTIVE_MIN,ACTIVE_MAX,ACTIVE_STD,IDLE_MEAN,IDLE_MIN,IDLE_MAX,IDLE_STD,DURATION,FB_PSEC,FP_SEC,FIRST_PACKET_DIR_0,FIRST_PACKET_DIR_1,FIRST_PACKET_DIR_2,FIRST_PACKET_DIR_3,FIRST_PACKET_DIR_4,FIRST_PACKET_DIR_5,FIRST_PACKET_DIR_6,FIRST_PACKET_DIR_7,FIRST_PACKET_DIR_8,FIRST_PACKET_DIR_9,INCOMING_BURSTS_MEAN,INCOMING_BURSTS_COUNT,INCOMING_BURSTS_LONGEST,OUTGOING_BURSTS_MEAN,OUTGOING_BURSTS_COUNT,OUTGOING_BURSTS_LONGEST,FIRST_INCOMING_BURST_0,FIRST_INCOMING_BURST_1,FIRST_INCOMING_BURST_2,FIRST_INCOMING_BURST_3,FIRST_INCOMING_BURST_4,FIRST_INCOMING_BURST_5,FIRST_INCOMING_BURST_6,FIRST_INCOMING_BURST_7,FIRST_INCOMING_BURST_8,FIRST_INCOMING_BURST_9,FIRST_OUTGOING_BURST_0,FIRST_OUTGOING_BURST_1,FIRST_OUTGOING_BURST_2,FIRST_OUTGOING_BURST_3,FIRST_OUTGOING_BURST_4,FIRST_OUTGOING_BURST_5,FIRST_OUTGOING_BURST_6,FIRST_OUTGOING_BURST_7,FIRST_OUTGOING_BURST_8,FIRST_OUTGOING_BURST_9,SIZE_583,SIZE_595,SIZE_1500,SIZE_1097,SIZE_1138,SIZE_1109,SIZE_151,SIZE_1126,SIZE_233,TOT_IN_PACKETS,TOT_OUT_PACKETS,TOT_PACKETS,TOT_BYTES,IP_SRC,IP_DST
instagram,web_and_social,0.005251530205655527,0.000099,1.228819,0.038119615012015204,0.07652036893203885,0.000122,1.228819,0.1390658897752094,0.0056237997247075,0.000099,2.358478,0.06381127189983511,8.171381,8.171381,8.171381,0.0,0.0,0,0,0.0,8.171381,276173.3910094266807532288606,190.4206889875774976102570667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17.85185185185185,81,42,2.6,10,5,12,8,10,4,11,9,3,2,3,6,2,2,2,5,2,2,2,2,5,2,20,0,1448,1,1,0,1,3,0,1453,103,1556,2256718,192.168.37.39,94.23.150.81
instagram,web_and_social,0.11065219767441861,0.000061,3.441042,0.4290923641041721,0.42467336363636365,0.000172,3.617052,0.860442196922476,0.09492260937500001,0.000061,1.831876,0.2998805160850848,6.075047,6.075047,6.075047,0.0,3.441042,3.441042,3.441042,0.0,9.516089,9907.011168138507321652834479,9.037326153633073419132586927,-1,-1,-1,-1,1,1,-1,-1,1,1,6.2,10,18,3.0,5,5,4,2,18,5,14,2,2,4,8,3,2,5,4,2,2,0,0,0,0,0,32,0,40,3,0,0,0,0,0,64,22,86,94276,192.168.37.39,94.23.150.81
instagram,web_and_social,0.13867369696969697,0.000101,3.450926,0.44207802165657023,0.3077123214285714,0.000137,3.603830,0.6822068015117271,0.24020755263157897,0.000101,3.825033,0.6301235228187907,2.850769,1.193818,4.507720,1.656951,3.450926,3.450926,3.450926,0.0,9.152464,5788.386602777131928625996234,7.211172860117231818666536137,-1,-1,1,1,1,-1,-1,-1,-1,-1,3.0,11,6,2.7142857142857144,7,4,2,5,3,3,3,2,3,2,6,2,3,3,2,4,3,2,2,0,0,0,36,0,14,6,0,0,3,0,2,38,28,66,52978,192.168.37.39,94.23.150.81
instagram,web_and_social,0.0042474963235294115,0.000110,0.162988,0.011314909704026833,0.06568305970149255,0.000123,0.195433,0.04254324748422361,0.004526225269343781,0.000110,0.233051,0.014033974171007492,4.621276,4.621276,4.621276,0.0,0.0,0,0,0.0,4.621276,335036.0376657875443925011187,235.4328111975999702246738780,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,18.125,56,42,2.0,6,2,4,19,6,8,19,12,13,17,9,2,2,2,2,2,2,2,0,0,0,0,24,0,977,2,0,0,1,10,0,1021,67,1088,1548294,192.168.37.39,94.23.150.81
instagram,web_and_social,0.07684121428571429,0.000160,4.610679,0.44819186047356735,0.4473765263157895,0.000184,4.784948,1.0896892960773326,0.08957054838709676,0.000160,4.868078,0.5170788164328761,1.9977684999999998,1.922728,2.072809,0.07504049999999995,4.610679,4.610679,4.610679,0.0,8.606216,15684.12877390016704205425474,13.01384952457619004682197147,1,1,-1,-1,1,-1,1,1,1,-1,8.181818181818182,11,18,2.6666666666666665,3,3,2,3,14,10,6,4,6,10,14,18,2,3,3,0,0,0,0,0,0,0,18,0,71,2,0,0,3,0,0,93,19,112,134981,192.168.37.39,94.23.150.81
instagram,web_and_social,0.007751637209302325,0.000086,1.202150,0.0408935963710115,0.10688711827956988,0.000144,1.202278,0.13803590643452546,0.00805188387635756,0.000086,1.440858,0.05118397234912481,9.999612,9.999612,9.999612,0.0,0.0,0,0,0.0,9.999612,184298.5507837704102919193265,129.0050053942092953206584415,1,1,1,-1,1,1,-1,1,-1,-1,17.73134328358209,67,38,2.5454545454545454,11,4,3,7,7,30,10,12,8,3,17,18,3,2,2,2,3,2,3,2,4,2,42,0,1151,5,1,0,5,22,1,1197,93,1290,1842914,192.168.37.39,94.23.150.81
instagram,web_and_social,0.06309579470198676,0.000063,3.975990,0.3897818901920827,0.5592091764705882,0.000147,5.980169,1.4410713295662336,0.056622291044776125,0.000063,3.975990,0.3810941911624064,2.7757375,1.940933,3.610542,0.8348045000000001,3.97599,3.975990,3.975990,0.0,9.527465,20999.18498782204920196505576,15.84891678951326507103411033,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12.090909090909092,11,29,2.25,4,3,11,6,28,7,15,29,22,3,5,2,2,2,2,3,0,0,0,0,0,0,14,0,119,4,0,0,2,1,1,134,17,151,200069,192.168.37.39,94.23.150.81
instagram,web_and_social,0.02239210250569476,0.000115,4.556179,0.22315560832796502,0.28086094285714286,0.000133,4.606585,0.7666512395145132,0.012882292079207923,0.000115,0.996868,0.06300295817566812,2.636977,0.065085,5.208869,2.571892,4.556179,4.556179,4.556179,0.0,9.830133,61134.37122366503077832212443,44.65860227933843824900436240,1,-1,-1,-1,-1,1,-1,-1,-1,-1,13.4,30,35,2.0,2,2,4,17,10,13,15,7,3,11,19,7,2,2,0,0,0,0,0,0,0,0,31,0,364,1,0,0,1,5,2,404,35,439,600959,192.168.37.39,94.23.150.81
instagram,web_and_social,0.020830631111111112,0.000102,2.864123,0.15425566860266443,0.23162882500000004,0.000164,3.076699,0.531845628366206,0.022817560975609757,0.000102,3.055788,0.18712782295479846,3.2548305,3.081850,3.427811,0.17298049999999998,2.864123,2.864123,2.864123,0.0,9.373784,66984.47499963728628694665889,48.00622672764808747459937204,-1,-1,-1,-1,-1,1,-1,-1,1,-1,15.037037037037036,27,50,2.2857142857142856,7,3,5,2,2,7,3,3,2,11,12,50,3,3,2,2,2,2,2,0,0,0,29,0,394,0,0,0,4,6,0,410,40,450,627898,192.168.37.39,94.23.150.81
instagram,web_and_social,0.19489794117647055,0.000061,2.335363,0.4344715741088298,0.39104728,0.000158,2.696656,0.7348922590480604,0.3747816538461538,0.000061,2.335363,0.5893133262252669,3.802216,2.976533,4.627899,0.8256830000000002,2.335363,2.335363,2.335363,0.0,9.939795,4525.143627207603376125966381,5.130890526414277155615382410,-1,-1,-1,1,-1,-1,1,1,1,-1,3.2857142857142856,7,5,3.5,6,5,3,2,2,4,5,4,3,0,0,0,3,4,5,5,2,2,0,0,0,0,35,0,8,1,0,0,1,0,0,26,25,51,44979,192.168.37.39,94.23.150.81
instagram,web_and_social,0.29869321875,0.000064,3.259734,0.7203153195316937,1.0119804444444445,0.014301,3.412299,1.3161226114162525,0.41557317391304344,0.000064,3.264158,0.8243921040855894,1.3788716666666667,0.369358,3.220462,1.3042142434207484,2.710784,2.161834,3.259734,0.54895,9.558183,2327.743672620622559748019053,3.347916649011637462894359733,-1,-1,-1,-1,-1,1,-1,1,-1,1,4.0,5,7,3.0,1,3,5,2,4,7,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,23,0,3,2,0,0,1,0,0,23,9,32,22249,192.168.37.39,94.23.150.81
instagram,web_and_social,0.022489832904884318,0.000099,1.293296,0.07462923885021758,0.147418,0.000135,1.340180,0.21204901068369125,0.02566999090909091,0.000123,1.599869,0.09595178258345355,8.748545,8.748545,8.748545,0.0,0.0,0,0,0.0,8.748545,55846.54362525425656494880006,44.46453667438414044849743586,1,1,1,1,1,-1,-1,-1,-1,-1,7.690476190476191,42,24,3.0,5,5,7,7,7,3,2,8,7,4,13,6,5,2,2,3,3,0,0,0,0,0,42,0,265,7,0,0,3,2,2,330,59,389,488576,192.168.37.39,94.23.150.81
instagram,web_and_social,0.040784790322580644,0.000143,3.121646,0.22428615061730905,0.25934943589743586,0.016799,3.121646,0.5434174685832953,0.030787272727272722,0.000188,1.646738,0.13435773822360209,6.992982,6.992982,6.992982,0.0,3.121646,3.121646,3.121646,0.0,10.114628,31724.84445300410455036013188,24.51894424589811904105618121,1,1,-1,-1,-1,-1,-1,-1,-1,1,8.24,25,25,2.4285714285714284,7,3,7,5,22,2,10,15,7,2,25,3,2,3,3,2,3,2,2,0,0,0,30,0,176,1,0,0,1,1,0,209,39,248,320885,192.168.37.39,94.23.150.81
instagram,web_and_social,0.022125752659574463,0.000095,2.180863,0.13364921911710406,0.17642495652173915,0.000128,2.653407,0.42066322732695405,0.02520994848484848,0.000114,2.180863,0.15131450034893834,3.06921,1.946065,4.192355,1.123145,2.180863,2.180863,2.180863,0.0,8.319283,59810.80340697629831801610788,45.19620260544087753716275790,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,9.588235294117647,34,24,2.2857142857142856,7,3,8,16,14,3,8,11,8,4,8,10,2,2,2,2,2,3,3,0,0,0,27,0,288,2,0,0,0,6,3,330,46,376,497583,192.168.37.39,94.23.150.81
instagram,web_and_social,0.5016332,0.001280,3.979879,1.0574504555105453,0.8968055,0.033967,4.143536,1.3658073763990295,0.8360553333333334,0.001280,6.190576,1.8096081078992552,1.6544245,0.660558,2.648291,0.9938665,3.3619075,2.743936,3.979879,0.6179714999999999,10.032664,1662.968081060025532600314333,1.993488469263996083193855590,-1,1,-1,-1,1,-1,1,1,1,1,4.0,2,6,4.0,1,4,2,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,13,0,4,0,0,0,0,0,0,12,8,20,16684,192.168.37.39,94.23.150.81
instagram,web_and_social,0.01824400902527076,0.000138,1.738985,0.11648779184403178,0.21504640425531915,0.000138,1.897872,0.4217914573170046,0.018997585798816566,0.000171,1.744404,0.12210444979292434,10.107181,10.107181,10.107181,0.0,0.0,0,0,0.0,10.107181,76144.87165115574758184304803,54.81251399376344403053630879,1,-1,1,-1,1,-1,-1,-1,-1,-1,17.785714285714285,28,49,2.5,6,4,22,23,16,20,19,16,6,10,15,25,4,2,2,2,3,2,0,0,0,0,37,0,470,4,0,0,3,4,0,507,47,554,769610,192.168.37.39,94.23.150.81
instagram,web_and_social,0.008428745719178083,0.000076,2.009803,0.06664157706773523,0.11678789156626507,0.000121,2.170118,0.2760798478331342,0.009073525345622118,0.000076,2.091477,0.07409519163009817,3.917486,0.309123,7.525849,3.608363,2.009803,2.009803,2.009803,0.0,9.844775,167938.0178825823850722845367,118.6416144604625296159637981,-1,-1,1,-1,1,-1,1,-1,1,1,16.333333333333332,66,36,2.375,8,4,2,10,19,13,7,20,3,9,9,29,4,2,2,2,2,2,2,3,0,0,37,0,1043,4,0,0,4,9,0,1085,83,1168,1653312,192.168.37.39,94.23.150.81
instagram,web_and_social,0.22974088095238096,0.000063,3.650507,0.6607523086434347,0.5581772941176472,0.000120,3.655486,0.9938142403614804,0.37494723999999996,0.000063,5.645480,1.1387588430679878,2.999305,2.314782,3.683828,0.684523,3.650507,3.650507,3.650507,0.0,9.649117,3318.645633584917666559541148,4.352729892279262444428852920,1,1,-1,-1,1,-1,-1,-1,-1,-1,3.2857142857142856,7,6,2.6,5,3,2,6,2,3,4,4,2,0,0,0,2,3,3,3,2,0,0,0,0,0,28,0,8,1,0,0,3,0,0,25,17,42,32022,192.168.37.39,94.23.150.81
instagram,web_and_social,0.0074028200312989045,0.000129,2.321538,0.09264817822604254,0.05956411428571428,0.000170,0.261736,0.049559983658922384,0.007831791390728477,0.000237,2.321538,0.0972262463805999,1.2044320000000002,0.128874,2.279990,1.075558,2.321538,2.321538,2.321538,0.0,4.730402,196415.0192732034190751652819,135.0836567378417309987607819,-1,1,1,1,1,-1,-1,1,-1,-1,20.724137931034484,29,48,3.0,2,4,2,16,25,31,2,34,13,16,9,21,4,2,0,0,0,0,0,0,0,0,13,0,599,0,0,0,0,4,1,604,35,639,929122,192.168.37.39,94.23.150.81
instagram,web_and_social,0.01826290021691974,0.000062,1.640910,0.10808991704117621,0.19588347619047622,0.000144,1.805303,0.3592241488706193,0.019618038186157517,0.000062,2.540120,0.14691341166930122,8.419197,8.419197,8.419197,0.0,0.0,0,0,0.0,8.419197,76182.91863226386079337495013,54.75581578623234496116434857,1,1,1,-1,-1,-1,1,1,-1,1,15.884615384615385,26,37,2.6666666666666665,6,4,3,14,20,25,28,25,2,2,24,32,3,2,2,3,4,2,0,0,0,0,37,0,399,3,0,0,2,2,0,419,42,461,641399,192.168.37.39,94.23.150.81
instagram,web_and_social,0.22491643181818183,0.000062,3.456948,0.641588604574238,0.39152632000000004,0.000096,4.013597,0.9755676558978253,0.5053587894736843,0.000062,3.673603,0.9496097009901422,1.4703476666666668,0.216655,3.899882,1.7182341715036655,2.7426399999999997,2.028332,3.456948,0.7143080000000002,9.896323,3861.232096001717001354947691,4.446095787293927249545108825,1,1,1,1,1,-1,-1,-1,-1,-1,4.0,4,5,4.6,5,6,5,3,5,3,0,0,0,0,0,0,5,3,6,5,4,0,0,0,0,0,24,0,13,0,0,0,1,1,1,19,25,44,38212,192.168.37.39,94.23.150.81
instagram,web_and_social,0.020735181236673773,0.000106,2.223981,0.11116020788810274,0.1648156724137931,0.000106,2.521099,0.3401748287417753,0.02366131386861314,0.000137,2.223981,0.12770943939597168,3.7504095,0.458695,7.042124,3.2917145,2.223981,2.223981,2.223981,0.0,9.724800,62931.26850937808489634748272,48.22721289897992760776571241,-1,1,1,-1,-1,1,-1,1,1,-1,9.418604651162791,43,34,2.4285714285714284,7,4,2,5,11,5,7,17,13,3,9,4,2,2,3,2,2,2,4,0,0,0,51,0,349,6,0,0,2,2,4,411,58,469,611994,192.168.37.39,94.23.150.81
instagram,web_and_social,0.028081844262295087,0.000131,3.816938,0.2191610464905453,0.23902220930232554,0.000192,3.822831,0.6181435905219552,0.03075476470588235,0.000131,4.146025,0.2495548166073459,3.2305085,0.764177,5.696840,2.4663315,3.816938,3.816938,3.816938,0.0,10.277955,47557.80697619322131688648180,35.61019677552587066201399014,1,1,-1,-1,-1,-1,-1,-1,-1,1,10.566666666666666,30,21,2.5,4,3,7,13,17,18,15,15,21,2,12,4,2,3,2,3,0,0,0,0,0,0,30,0,281,0,0,0,1,7,0,323,43,366,488797,192.168.37.39,94.23.150.81
instagram,web_and_social,0.08445559322033899,0.000088,2.694591,0.32849414745257977,0.589810875,0.021974,2.852851,0.7906205703925615,0.0977035294117647,0.000088,3.015364,0.3937281960196854,3.6355844999999998,1.276858,5.994311,2.3587265,2.694591,2.694591,2.694591,0.0,9.965760,14371.30735638827344828693446,11.84054201586231255819927432,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12.125,8,22,2.3333333333333335,3,3,22,8,9,5,9,19,19,6,0,0,2,2,3,0,0,0,0,0,0,0,25,0,75,1,0,0,1,0,0,102,16,118,143221,192.168.37.39,94.23.150.81
instagram,web_and_social,0.06676000000000001,0.000140,6.371775,0.5987580445427375,0.08113523076923077,0.004091,0.212589,0.06002131014020559,0.07552646464646465,0.000261,6.371775,0.6366988433572746,1.105345,1.105345,1.105345,0.0,6.371775,6.371775,6.371775,0.0,7.477120,20069.35825558503808953179834,14.97902935889754343918514080,-1,1,1,1,-1,-1,-1,-1,-1,-1,8.909090909090908,11,20,3.0,1,3,11,12,3,18,2,3,3,20,17,6,3,0,0,0,0,0,0,0,0,0,8,0,88,0,0,0,0,1,0,99,13,112,150061,192.168.37.39,94.23.150.81
instagram,web_and_social,0.02080351489361702,0.000139,5.015461,0.2385096720274222,0.2793614857142857,0.000176,5.015461,0.8449006832973371,0.021293241379310338,0.000139,5.028544,0.25247655304591876,2.3810955000000003,0.465962,4.296229,1.9151335,5.015461,5.015461,5.015461,0.0,9.777652,68895.37488141324727040806934,48.06880015774748375172280625,1,-1,-1,-1,1,1,-1,-1,-1,-1,14.96551724137931,29,35,2.3333333333333335,3,3,3,4,9,14,9,8,13,10,10,29,2,3,2,0,0,0,0,0,0,0,26,0,427,0,0,0,1,8,0,435,35,470,673635,192.168.37.39,94.23.150.81
