LABEL,CATEGORY,FLOWIAT_MEAN,FLOWIAT_MIN,FLOWIAT_MAX,FLOWIAT_STD,FIAT_MEAN,FIAT_MIN,FIAT_MAX,FIAT_STD,BIAT_MEAN,BIAT_MIN,BIAT_MAX,BIAT_STD,ACTIVE_MEAN,ACTIVE_MIN,ACTIVE_MAX,ACTIVE_STD,IDLE_MEAN,IDLE_MIN,IDLE_MAX,IDLE_STD,DURATION,FB_PSEC,FP_SEC,FIRST_PACKET_DIR_0,FIRST_PACKET_DIR_1,FIRST_PACKET_DIR_2,FIRST_PACKET_DIR_3,FIRST_PACKET_DIR_4,FIRST_PACKET_DIR_5,FIRST_PACKET_DIR_6,FIRST_PACKET_DIR_7,FIRST_PACKET_DIR_8,FIRST_PACKET_DIR_9,INCOMING_BURSTS_MEAN,INCOMING_BURSTS_COUNT,INCOMING_BURSTS_LONGEST,OUTGOING_BURSTS_MEAN,OUTGOING_BURSTS_COUNT,OUTGOING_BURSTS_LONGEST,FIRST_INCOMING_BURST_0,FIRST_INCOMING_BURST_1,FIRST_INCOMING_BURST_2,FIRST_INCOMING_BURST_3,FIRST_INCOMING_BURST_4,FIRST_INCOMING_BURST_5,FIRST_INCOMING_BURST_6,FIRST_INCOMING_BURST_7,FIRST_INCOMING_BURST_8,FIRST_INCOMING_BURST_9,FIRST_OUTGOING_BURST_0,FIRST_OUTGOING_BURST_1,FIRST_OUTGOING_BURST_2,FIRST_OUTGOING_BURST_3,FIRST_OUTGOING_BURST_4,FIRST_OUTGOING_BURST_5,FIRST_OUTGOING_BURST_6,FIRST_OUTGOING_BURST_7,FIRST_OUTGOING_BURST_8,FIRST_OUTGOING_BURST_9,SIZE_583,SIZE_595,SIZE_1500,SIZE_1097,SIZE_1138,SIZE_1109,SIZE_151,SIZE_1126,SIZE_233,TOT_IN_PACKETS,TOT_OUT_PACKETS,TOT_PACKETS,TOT_BYTES,IP_SRC,IP_DST
skype,voip,0.041815870292887025,0.000117,0.195126,0.0432461440975902,0.08672632173913042,0.000128,0.266030,0.05651777144373307,0.07958259677419353,0.000117,1.552343,0.15717729457669868,9.993993,9.993993,9.993993,0.0,0.0,0,0,0.0,9.993993,24131.09554909634217274316682,23.91436535927131427848708719,-1,-1,1,-1,1,-1,-1,1,1,-1,2.75,36,5,2.9285714285714284,28,15,2,2,2,3,2,4,4,3,4,2,2,2,2,2,3,2,2,3,2,2,41,0,85,13,0,0,4,25,4,124,115,239,241166,192.168.37.39,94.23.150.81
skype,voip,0.08769931578947367,0.000141,0.321926,0.0713133587032041,0.10865048913043478,0.000152,0.321926,0.07797493274297594,0.454014409090909,0.000141,2.398732,0.49969406133568445,9.997722,9.997722,9.997722,0.0,0.0,0,0,0.0,9.997722,9099.172791561917804875950742,11.40259751171316825972956640,-1,1,1,1,1,1,1,1,1,1,3.0,1,3,5.235294117647059,17,21,3,0,0,0,0,0,0,0,0,0,21,11,5,3,3,4,4,2,2,7,55,0,21,8,0,0,1,7,0,22,92,114,90971,192.168.37.39,94.23.150.81
skype,voip,0.07549946212121211,0.000146,0.230909,0.05570025958951605,0.10602052127659574,0.000146,0.278488,0.05860279724601939,0.25302784210526325,0.000196,0.870878,0.1975792506335684,9.965929,9.965929,9.965929,0.0,0.0,0,0,0.0,9.965929,10788.45735304756837019408828,13.24512747381603862519991864,1,1,-1,1,1,1,1,1,-1,1,2.2,5,3,3.259259259259259,27,8,2,2,3,2,2,0,0,0,0,0,2,5,3,2,8,3,6,4,3,4,66,0,19,12,0,0,4,12,0,38,94,132,107517,192.168.37.39,94.23.150.81
skype,voip,0.08868240178571428,0.000163,0.313478,0.06142599938695978,0.11036032222222224,0.000175,0.313478,0.06311569188699392,0.4301337727272727,0.000163,1.552855,0.35606376581844434,9.932429,9.932429,9.932429,0.0,0.0,0,0,0.0,9.932429,9085.088853894651549988426799,11.27619437299778332168294382,1,-1,1,1,1,1,1,-1,-1,1,2.0,3,2,4.888888888888889,18,14,2,2,2,0,0,0,0,0,0,0,5,5,8,3,4,2,5,4,3,2,56,0,15,9,0,0,0,16,0,22,90,112,90237,192.168.37.39,94.23.150.81
skype,voip,0.1320053823529412,0.000183,2.147214,0.259099164977145,0.11538192592592592,0.000183,0.316583,0.08068516022326394,0.6211943571428573,0.000291,2.147214,0.637886586384804,3.414576,0.318886,6.510266,3.09569,2.147214,2.147214,2.147214,0.0,8.976366,5848.914805835680051370454369,7.575448683799212287021273420,1,1,1,-1,1,1,1,1,1,1,7.0,1,7,6.75,8,14,7,0,0,0,0,0,0,0,0,0,3,7,14,5,6,10,2,7,0,0,36,0,9,6,0,0,0,8,0,14,54,68,52502,192.168.37.39,94.23.150.81
skype,voip,0.28219944117647056,0.000068,1.789399,0.4363188764292485,0.9620386666666668,0.406220,2.479896,1.0860238902729331,0.3095090645161291,0.000068,1.789399,0.45183874643761845,9.594781,9.594781,9.594781,0.0,0.0,0,0,0.0,9.594781,3295.020490827252857569130551,3.543593126304810917518596829,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.75,4,21,0.0,0,0,21,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,6,6,0,0,2,0,0,31,3,34,31615,192.168.37.39,94.23.150.81
skype,voip,0.21937940909090906,0.000110,2.485759,0.49824379841044586,0.11448236842105264,0.000110,1.861948,0.4121596720424348,0.38610776,0.000166,2.485759,0.6218425407433802,3.5834675000000002,3.110850,4.056085,0.47261750000000013,2.485759,2.485759,2.485759,0.0,9.652694,6103.684629389474068068458401,4.558312943516079552506274414,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.333333333333334,3,16,18.0,1,18,16,3,6,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,5,0,23,4,0,0,0,0,0,25,19,44,58917,192.168.37.39,94.23.150.81
skype,voip,0.07027941549295776,0.000117,1.322728,0.14517115491146085,0.334003,0.000152,2.354400,0.6417113200512541,0.08603169827586206,0.000117,1.322728,0.15954133108086915,9.979677,9.979677,9.979677,0.0,0.0,0,0,0.0,9.979677,16389.50839791708689569812730,14.22891742889073464000889007,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11.3,10,23,15.0,1,15,12,6,20,23,9,14,21,4,2,2,15,0,0,0,0,0,0,0,0,0,17,0,70,8,0,0,9,3,1,116,26,142,163562,192.168.37.39,94.23.150.81
skype,voip,0.03465063194444445,0.000116,0.210561,0.04076474457443223,0.06119252760736196,0.000128,0.210561,0.04832552435718082,0.078880832,0.000116,1.041690,0.14642268564250477,9.979382,9.979382,9.979382,0.0,0.0,0,0,0.0,9.979382,31828.12322446420028815411616,28.85950252230047912786583378,-1,-1,-1,1,-1,-1,-1,1,-1,-1,3.25,24,10,3.1904761904761907,42,11,3,3,6,3,3,4,6,4,2,10,2,3,2,3,2,11,11,2,8,2,46,2,136,11,0,0,2,19,2,125,163,288,317625,192.168.37.39,94.23.150.81
skype,voip,0.027848788300835654,0.000110,0.113140,0.027880571121400327,0.04364410480349345,0.000110,0.120192,0.03333894751899954,0.07682541538461539,0.000135,0.313014,0.05761941687564179,9.997715,9.997715,9.997715,0.0,0.0,0,0,0.0,9.997715,41681.12413686527371504388753,35.90820502484817780862927179,1,-1,1,-1,1,-1,1,1,1,1,2.2,20,3,2.8923076923076922,65,7,2,2,3,2,2,2,2,2,3,3,6,3,2,4,5,3,2,4,2,2,19,0,197,29,0,0,4,1,0,130,229,359,416716,192.168.37.39,94.23.150.81
