LABEL,CATEGORY,FLOWIAT_MEAN,FLOWIAT_MIN,FLOWIAT_MAX,FLOWIAT_STD,FIAT_MEAN,FIAT_MIN,FIAT_MAX,FIAT_STD,BIAT_MEAN,BIAT_MIN,BIAT_MAX,BIAT_STD,ACTIVE_MEAN,ACTIVE_MIN,ACTIVE_MAX,ACTIVE_STD,IDLE_MEAN,IDLE_MIN,IDLE_MAX,IDLE_STD,DURATION,FB_PSEC,FP_SEC,FIRST_PACKET_DIR_0,FIRST_PACKET_DIR_1,FIRST_PACKET_DIR_2,FIRST_PACKET_DIR_3,FIRST_PACKET_DIR_4,FIRST_PACKET_DIR_5,FIRST_PACKET_DIR_6,FIRST_PACKET_DIR_7,FIRST_PACKET_DIR_8,FIRST_PACKET_DIR_9,INCOMING_BURSTS_MEAN,INCOMING_BURSTS_COUNT,INCOMING_BURSTS_LONGEST,OUTGOING_BURSTS_MEAN,OUTGOING_BURSTS_COUNT,OUTGOING_BURSTS_LONGEST,FIRST_INCOMING_BURST_0,FIRST_INCOMING_BURST_1,FIRST_INCOMING_BURST_2,FIRST_INCOMING_BURST_3,FIRST_INCOMING_BURST_4,FIRST_INCOMING_BURST_5,FIRST_INCOMING_BURST_6,FIRST_INCOMING_BURST_7,FIRST_INCOMING_BURST_8,FIRST_INCOMING_BURST_9,FIRST_OUTGOING_BURST_0,FIRST_OUTGOING_BURST_1,FIRST_OUTGOING_BURST_2,FIRST_OUTGOING_BURST_3,FIRST_OUTGOING_BURST_4,FIRST_OUTGOING_BURST_5,FIRST_OUTGOING_BURST_6,FIRST_OUTGOING_BURST_7,FIRST_OUTGOING_BURST_8,FIRST_OUTGOING_BURST_9,SIZE_583,SIZE_595,SIZE_1500,SIZE_1097,SIZE_1138,SIZE_1109,SIZE_151,SIZE_1126,SIZE_233,TOT_IN_PACKETS,TOT_OUT_PACKETS,TOT_PACKETS,TOT_BYTES,IP_SRC,IP_DST
spotify,streaming,0.006101157055214724,0.000087,2.367902,0.05067549740122972,0.10659223741007194,0.000096,2.623703,0.23439412649550564,0.006468919774501301,0.000087,2.407781,0.054821471708218994,14.917329,14.917329,14.917329,0.0,0.0,0,0,0.0,14.917329,245305.8453024666815352802100,163.9033368507190529886415993,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18.556451612903224,124,47,2.1,10,3,17,24,39,9,3,17,17,18,26,10,2,2,2,2,2,2,3,2,2,2,60,1,2250,0,2,0,1,23,0,2306,139,2445,3659308,192.168.37.39,94.23.150.81
spotify,streaming,0.008700815448113205,0.000064,1.559588,0.057715549263467524,0.14460256862745097,0.000139,1.808607,0.26496778347511585,0.009254333751568382,0.000064,1.568211,0.06407816918520892,14.756583,14.756583,14.756583,0.0,0.0,0,0,0.0,14.756583,169152.5741426724601488027411,114.9317562202577656358521482,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17.293478260869566,92,39,2.0,7,2,10,10,13,9,21,14,19,16,16,18,2,2,2,2,2,2,2,0,0,0,67,2,1528,2,0,1,0,20,4,1594,102,1696,2496114,192.168.37.39,94.23.150.81
spotify,streaming,0.0046906189074255806,0.000082,1.494366,0.03822007153908026,0.08903020512820513,0.000117,1.745519,0.18397776269498659,0.004942854877628404,0.000082,1.546526,0.042770906024957686,14.339222,14.339222,14.339222,0.0,0.0,0,0,0.0,14.339222,311881.4256449896654086253773,213.1914827736121248419195965,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21.294117647058822,136,50,2.0,16,2,22,22,37,23,8,29,6,24,20,38,2,2,2,2,2,2,2,2,2,2,37,0,2869,4,1,0,0,26,0,2901,156,3057,4472137,192.168.37.39,94.23.150.81
spotify,streaming,1.4215939,0.000200,6.506424,2.257435359535083,4.566024,9.132048,9.132048,4.566024,1.776992375,0.000200,7.223211,2.945707007773089,3.8547575,0.004696,7.704819,3.8500615,6.506424,6.506424,6.506424,0.0,14.215939,410.1030540437743859199170734,0.7034357702294586379415387193,-1,-1,-1,1,-1,-1,-1,1,-1,-1,2.6666666666666665,3,3,0.0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,8,2,10,5830,192.168.37.39,94.23.150.81
spotify,streaming,1.5473843333333335,0.000103,5.939320,2.223207972493302,0.0,0,0,0.0,1.5473843333333335,0.000103,5.939320,2.223207972493302,3.9935695,0.000107,7.987032,3.9934625,5.93932,5.939320,5.939320,0.0,13.926459,376.7648330419096483894434328,0.6462518577048192939784621489,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9.0,1,9,0.0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,9,5247,192.168.37.39,94.23.150.81
spotify,streaming,1.0406726363636363,0.000104,5.547527,1.6641273761596644,4.8200495,9.640099,9.640099,4.8200495,0.6555413333333333,0.000104,2.145596,0.9278395089702864,5.899872,5.899872,5.899872,0.0,5.547527,5.547527,5.547527,0.0,11.447399,694.9176839210374339183949122,0.9609169733666136735515203061,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,8.0,1,8,0.0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,9,2,11,7955,192.168.37.39,94.23.150.81
spotify,streaming,1.1410957142857143,0.000105,5.017368,1.8725132083129588,0.0,0,0,0.0,1.1410957142857143,0.000105,5.017368,1.8725132083129588,1.485151,0.000230,2.970072,1.4849210000000002,5.017368,5.017368,5.017368,0.0,7.987670,510.9124438040129349359700639,0.8763506754785813635265352725,-1,-1,-1,-1,-1,-1,-1,0,0,0,7.0,1,7,0.0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,7,4081,192.168.37.39,94.23.150.81
spotify,streaming,1.6677747142857144,0.000196,8.504984,2.9969219745416282,0.0,0,0,0.0,1.9448456666666667,0.000196,8.504984,3.152948887390854,1.5847194999999998,0.005651,3.163788,1.5790684999999998,8.504984,8.504984,8.504984,0.0,11.674423,349.5675974735539392396523580,0.5996013678791662765688719691,1,-1,-1,-1,-1,-1,-1,0,0,0,6.0,1,6,0.0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,6,1,7,4081,192.168.37.39,94.23.150.81
spotify,streaming,0.9691240714285715,0.001227,8.507959,2.2059086221904267,1.758582285714286,0.001227,9.386240,3.245585266539973,1.9376557142857143,0.022099,11.198038,3.8389184759352553,2.529889,2.365552,2.694226,0.16433699999999996,8.507959,8.507959,8.507959,0.0,13.567737,1325.276278571732338266875309,1.031859624047842318877495930,1,-1,1,-1,-1,1,1,1,1,1,3.0,2,4,5.0,1,5,2,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,2,0,0,7,7,14,17981,192.168.37.39,94.23.150.81
spotify,streaming,1.1122716363636362,0.000131,6.672191,2.0416971400670247,0.0,0,0,0.0,1.1122716363636362,0.000131,6.672191,2.0416971400670247,2.7813985,1.923684,3.639113,0.8577145,6.672191,6.672191,6.672191,0.0,12.234988,650.1845363477266998545482840,0.8990609553519790947077348993,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11.0,1,11,0.0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,11,0,11,7955,192.168.37.39,94.23.150.81
