LABEL,CATEGORY,FLOWIAT_MEAN,FLOWIAT_MIN,FLOWIAT_MAX,FLOWIAT_STD,FIAT_MEAN,FIAT_MIN,FIAT_MAX,FIAT_STD,BIAT_MEAN,BIAT_MIN,BIAT_MAX,BIAT_STD,ACTIVE_MEAN,ACTIVE_MIN,ACTIVE_MAX,ACTIVE_STD,IDLE_MEAN,IDLE_MIN,IDLE_MAX,IDLE_STD,DURATION,FB_PSEC,FP_SEC,FIRST_PACKET_DIR_0,FIRST_PACKET_DIR_1,FIRST_PACKET_DIR_2,FIRST_PACKET_DIR_3,FIRST_PACKET_DIR_4,FIRST_PACKET_DIR_5,FIRST_PACKET_DIR_6,FIRST_PACKET_DIR_7,FIRST_PACKET_DIR_8,FIRST_PACKET_DIR_9,INCOMING_BURSTS_MEAN,INCOMING_BURSTS_COUNT,INCOMING_BURSTS_LONGEST,OUTGOING_BURSTS_MEAN,OUTGOING_BURSTS_COUNT,OUTGOING_BURSTS_LONGEST,FIRST_INCOMING_BURST_0,FIRST_INCOMING_BURST_1,FIRST_INCOMING_BURST_2,FIRST_INCOMING_BURST_3,FIRST_INCOMING_BURST_4,FIRST_INCOMING_BURST_5,FIRST_INCOMING_BURST_6,FIRST_INCOMING_BURST_7,FIRST_INCOMING_BURST_8,FIRST_INCOMING_BURST_9,FIRST_OUTGOING_BURST_0,FIRST_OUTGOING_BURST_1,FIRST_OUTGOING_BURST_2,FIRST_OUTGOING_BURST_3,FIRST_OUTGOING_BURST_4,FIRST_OUTGOING_BURST_5,FIRST_OUTGOING_BURST_6,FIRST_OUTGOING_BURST_7,FIRST_OUTGOING_BURST_8,FIRST_OUTGOING_BURST_9,SIZE_583,SIZE_595,SIZE_1500,SIZE_1097,SIZE_1138,SIZE_1109,SIZE_151,SIZE_1126,SIZE_233,TOT_IN_PACKETS,TOT_OUT_PACKETS,TOT_PACKETS,TOT_BYTES,IP_SRC,IP_DST
spotify,streaming,1.1765,0.000111,4.637459,1.612140005960452,0.0,0,0,0.0,1.280564909090909,0.000111,4.637459,1.6447837682055493,0.66619725,0.031786,2.048192,0.8113634166775622,3.8177369999999997,3.126438,4.637459,0.623519829038874,14.118000,495.5376115597110072248193795,0.8499787505312367190820229494,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11.0,1,11,0.0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,11,1,12,6996,192.168.37.39,94.23.150.81
spotify,streaming,1.9968839999999999,0.000094,7.987073,3.0500458574608897,0.0,0,0,0.0,1.9968839999999999,0.000094,7.987073,3.0500458574608897,0.00021966666666666665,0.000094,0.000452,0.00016446749087754562,5.9903224999999996,3.993572,7.987073,1.9967504999999999,11.981304,291.9548656807305782408993211,0.5007802155758672010993127292,-1,-1,-1,-1,-1,-1,0,0,0,0,6.0,1,6,0.0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,6,3498,192.168.37.39,94.23.150.81
spotify,streaming,0.05959867647058824,0.000105,2.834755,0.24910627812947905,0.21569646153846153,0.000129,2.834755,0.4706459398323534,0.06756842774566474,0.000105,2.999758,0.2679089574324773,4.6039645,2.263367,6.944562,2.3405975,2.488278,2.141801,2.834755,0.3464769999999999,14.184485,21125.54668005218377685196184,16.77889609668592127243252046,1,1,1,1,1,1,1,1,1,-1,6.913043478260869,23,18,3.1538461538461537,13,9,5,9,10,6,2,14,3,8,2,8,9,2,2,2,2,3,2,2,3,4,41,0,155,3,0,0,4,3,0,173,65,238,299655,192.168.37.39,94.23.150.81
spotify,streaming,1.2582503333333332,0.008976,6.145067,1.992484634732223,1.8873754999999999,0.143915,6.326310,2.2753095674085575,0.4446503333333333,0.190219,1.143732,0.5003879824644961,1.869099,1.869099,1.869099,0.0,9.455154,9.455154,9.455154,0.0,11.324253,463.3418204273606391520924162,0.7947544089663132747034175234,1,1,-1,1,-1,1,-1,1,1,0,0.0,0,0,2.0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,6,9,5247,192.168.37.39,94.23.150.81
spotify,streaming,0.04117087123287671,0.000126,3.887796,0.2511189364599367,0.22099070588235292,0.000126,3.887796,0.5919954424653427,0.04956912457912457,0.000126,4.400459,0.3117530663382602,3.0354883333333333,1.448202,5.331175,1.6624766873317518,2.9604515,2.033107,3.887796,0.9273444999999998,15.027368,31438.17333813878784361972103,24.28901721179650355271794768,1,1,1,1,1,1,-1,-1,1,1,10.923076923076923,26,27,2.6470588235294117,17,6,2,2,2,14,27,4,2,2,3,16,6,2,4,2,2,2,5,2,2,2,56,0,271,7,0,0,2,4,0,297,68,365,472433,192.168.37.39,94.23.150.81
spotify,streaming,0.003709416419386746,0.000100,0.312171,0.012516505931711263,0.059188976190476195,0.000115,0.616650,0.057930402683417676,0.003955928270042194,0.000101,0.483382,0.018236454489300245,15.00088,15.000880,15.000880,0.0,0.0,0,0,0.0,15.000880,403451.1308669891366373172774,269.5841843945155217560569780,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21.947674418604652,172,48,2.8823529411764706,34,6,12,4,3,6,22,25,28,20,8,33,4,2,5,2,2,4,2,5,5,2,43,2,3776,5,2,0,0,41,2,3792,252,4044,6052122,192.168.37.39,94.23.150.81
spotify,streaming,0.00434286592379583,0.000105,0.296689,0.015150640588049382,0.07994197315436241,0.000135,0.343119,0.060108558219559544,0.004588626281807824,0.000121,0.546091,0.023373332239419203,12.081853,12.081853,12.081853,0.0,0.0,0,0,0.0,12.081853,350060.3756725065269375484042,230.2626923204577973262876150,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,21.048,125,43,2.533333333333333,15,5,4,14,17,41,7,31,20,25,3,29,3,2,3,2,2,3,4,2,2,2,34,2,2557,0,2,0,0,29,0,2633,149,2782,4229378,192.168.37.39,94.23.150.81
spotify,streaming,1.3805206666666667,0.000291,4.510116,1.8522401559348498,0.0,0,0,0.0,1.3805206666666667,0.000291,4.510116,1.8522401559348498,0.18776050000000002,0.007182,0.368339,0.18057850000000003,3.9538015,3.397487,4.510116,0.5563145,8.283124,422.3044348967853191621904972,0.7243643823272475457327452782,-1,-1,-1,-1,-1,-1,0,0,0,0,6.0,1,6,0.0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,6,3498,192.168.37.39,94.23.150.81
spotify,streaming,1.8613252500000002,0.368102,5.088746,2.026906009407488,2.49306,4.986120,4.986120,2.49306,2.481767,0.368102,10.733563,3.822015110614382,0.6087366666666666,0.368102,1.066565,0.3238749318511014,6.532196,2.989526,10.074866,3.54267,14.890602,313.2176926090698012074998714,0.5372516168251626092752999509,-1,-1,1,1,-1,-1,-1,-1,0,0,3.0,2,4,2.0,1,2,2,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,2,8,4664,192.168.37.39,94.23.150.81
spotify,streaming,2.3528383333333336,0.354531,6.870313,2.435869348633301,5.1916685,10.383337,10.383337,5.1916685,2.73963425,0.354531,10.244250,4.335244842477318,0.3571435,0.354531,0.359756,0.0026125000000000176,6.7013715,3.158493,10.244250,3.5428784999999996,14.117030,320.6056798065882129598081183,0.4250185768536299774102626402,1,-1,-1,1,-1,-1,0,0,0,0,2.0,2,2,0.0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,4,2,6,4526,192.168.37.39,94.23.150.81
