LABEL,CATEGORY,FLOWIAT_MEAN,FLOWIAT_MIN,FLOWIAT_MAX,FLOWIAT_STD,FIAT_MEAN,FIAT_MIN,FIAT_MAX,FIAT_STD,BIAT_MEAN,BIAT_MIN,BIAT_MAX,BIAT_STD,ACTIVE_MEAN,ACTIVE_MIN,ACTIVE_MAX,ACTIVE_STD,IDLE_MEAN,IDLE_MIN,IDLE_MAX,IDLE_STD,DURATION,FB_PSEC,FP_SEC,FIRST_PACKET_DIR_0,FIRST_PACKET_DIR_1,FIRST_PACKET_DIR_2,FIRST_PACKET_DIR_3,FIRST_PACKET_DIR_4,FIRST_PACKET_DIR_5,FIRST_PACKET_DIR_6,FIRST_PACKET_DIR_7,FIRST_PACKET_DIR_8,FIRST_PACKET_DIR_9,INCOMING_BURSTS_MEAN,INCOMING_BURSTS_COUNT,INCOMING_BURSTS_LONGEST,OUTGOING_BURSTS_MEAN,OUTGOING_BURSTS_COUNT,OUTGOING_BURSTS_LONGEST,FIRST_INCOMING_BURST_0,FIRST_INCOMING_BURST_1,FIRST_INCOMING_BURST_2,FIRST_INCOMING_BURST_3,FIRST_INCOMING_BURST_4,FIRST_INCOMING_BURST_5,FIRST_INCOMING_BURST_6,FIRST_INCOMING_BURST_7,FIRST_INCOMING_BURST_8,FIRST_INCOMING_BURST_9,FIRST_OUTGOING_BURST_0,FIRST_OUTGOING_BURST_1,FIRST_OUTGOING_BURST_2,FIRST_OUTGOING_BURST_3,FIRST_OUTGOING_BURST_4,FIRST_OUTGOING_BURST_5,FIRST_OUTGOING_BURST_6,FIRST_OUTGOING_BURST_7,FIRST_OUTGOING_BURST_8,FIRST_OUTGOING_BURST_9,SIZE_583,SIZE_595,SIZE_1500,SIZE_1097,SIZE_1138,SIZE_1109,SIZE_151,SIZE_1126,SIZE_233,TOT_IN_PACKETS,TOT_OUT_PACKETS,TOT_PACKETS,TOT_BYTES,IP_SRC,IP_DST
utorrent,filesharing,0.003747661923378091,9.608268737792969e-05,0.17305898666381836,0.009935869272347636,0.027967750859193775,0.00010800361633300781,0.21526479721069336,0.031068567237801697,0.004135780359264883,0.00011396408081054688,1.0236248970031738,0.028295586069249375,9.987519025802612,9.987519025802612,9.987519025802612,0.0,0.0,0.0,0.0,0.0,9.987519025802612,396383.62538006355,266.83303362076316,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,11.942708333333334,192,97,5.411764705882353,34,30,2,15,2,3,4,3,23,8,12,18,2,9,2,2,8,30,2,2,2,2,0,1,2561,0,0,0,0,0,0,2308,357,2665,3958889,192.168.37.39,94.23.150.81
utorrent,filesharing,0.002869241583124979,9.202957153320312e-05,0.1222081184387207,0.006201915422257248,0.024384697472176902,0.00011897087097167969,0.17650985717773438,0.027378142987161885,0.0032327395338353103,0.0001239776611328125,0.4421219825744629,0.013751198216190669,9.999306917190552,9.999306917190552,9.999306917190552,0.0,0.0,0.0,0.0,0.0,9.999306917190552,521842.06797665614,348.5241556100931,1,1,1,1,1,-1,-1,-1,-1,-1,13.164502164502165,231,80,4.1521739130434785,46,16,6,10,63,11,17,2,6,5,5,2,5,2,2,2,2,2,2,6,5,5,0,0,3384,0,0,0,0,0,0,3075,410,3485,5218059,192.168.37.39,94.23.150.81
utorrent,filesharing,0.003412451667564238,9.012222290039062e-05,0.250622034072876,0.010128679631212015,0.02527268808099288,0.00011086463928222656,0.4174070358276367,0.035978882793756134,0.003944384741237433,0.00011301040649414062,0.5604889392852783,0.02306968450964999,9.995070934295654,9.995070934295654,9.995070934295654,0.0,0.0,0.0,0.0,0.0,9.995070934295654,440484.8178609003,293.0444435316461,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,13.067708333333334,192,78,5.068181818181818,44,30,6,4,8,13,9,10,46,36,3,12,2,7,2,12,3,2,3,2,3,3,0,0,2798,0,0,0,0,0,0,2534,395,2929,4402677,192.168.37.39,94.23.150.81
utorrent,filesharing,0.0027529050154122595,9.107589721679688e-05,0.15311098098754883,0.005560889085651047,0.026274974095193963,9.107589721679688e-05,0.46868395805358887,0.04629629933303292,0.00307367824107381,0.000125885009765625,0.31452202796936035,0.009696650587823024,9.995798110961914,9.995798110961914,9.995798110961914,0.0,0.0,0.0,0.0,0.0,9.995798110961914,542931.1336378868,363.25263472639125,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14.048034934497817,229,246,3.0526315789473686,57,14,17,8,11,5,11,8,62,18,25,10,2,2,2,2,2,2,2,2,2,2,0,0,3493,0,0,0,0,0,1,3251,380,3631,5427030,192.168.37.39,94.23.150.81
utorrent,filesharing,0.003648915372595914,0.00010395050048828125,0.3918280601501465,0.010623459857828973,0.02948579956999922,0.00011992454528808594,0.42994189262390137,0.04721707942628208,0.004158213573331936,0.00010895729064941406,1.1528639793395996,0.027330118593127548,10.0016770362854,10.0016770362854,10.0016770362854,0.0,0.0,0.0,0.0,0.0,10.0016770362854,406856.1687442077,274.05404014305196,-1,-1,-1,-1,1,-1,-1,1,-1,-1,14.9,160,177,4.354166666666667,48,32,4,2,2,15,6,9,11,14,28,4,2,3,4,2,2,4,2,7,2,2,0,0,2654,0,0,0,0,0,0,2402,339,2741,4069244,192.168.37.39,94.23.150.81
utorrent,filesharing,0.002622559121421338,8.606910705566406e-05,0.2760350704193115,0.00832001177556614,0.03065569877624512,8.702278137207031e-05,0.4412040710449219,0.044480085749251656,0.002742293928296798,8.916854858398438e-05,0.2778611183166504,0.009896415936978941,9.963102102279663,9.963102102279663,9.963102102279663,0.0,0.0,0.0,0.0,0.0,9.963102102279663,577327.8182789964,381.30694245628064,1,1,1,1,1,1,-1,-1,-1,-1,15.305309734513274,226,105,3.4411764705882355,34,12,10,4,13,30,33,7,3,10,9,8,6,4,4,4,2,2,2,2,2,2,0,0,3733,0,0,0,0,0,0,3474,325,3799,5751976,192.168.37.39,94.23.150.81
utorrent,filesharing,0.0029622728559705945,6.389617919921875e-05,0.1456449031829834,0.006841274372793108,0.028646621458168358,6.389617919921875e-05,0.41478896141052246,0.038794283383873765,0.0032488358233515504,9.202957153320312e-05,0.15445399284362793,0.008944008610714215,9.997670888900757,9.997670888900757,9.997670888900757,0.0,0.0,0.0,0.0,0.0,9.997670888900757,507968.3114632293,337.5786258124247,1,1,1,1,1,1,1,1,-1,1,12.987068965517242,232,79,3.1020408163265305,49,26,33,3,73,19,24,11,19,14,4,12,8,26,2,2,2,2,2,2,2,4,0,0,3283,0,0,0,0,0,0,3026,349,3375,5078500,192.168.37.39,94.23.150.81
utorrent,filesharing,0.00313075405911993,9.012222290039062e-05,0.08826208114624023,0.006366774737768767,0.0257347705437965,0.00012493133544921875,0.4556620121002197,0.037141640867173,0.0034310345812973045,9.703636169433594e-05,0.3477301597595215,0.013022011072155506,9.993366956710815,9.993366956710815,9.993366956710815,0.0,0.0,0.0,0.0,0.0,9.993366956710815,478752.05831275746,319.41186727427095,-1,-1,-1,-1,1,-1,1,-1,-1,-1,12.902325581395349,215,194,3.1029411764705883,68,14,4,6,16,3,6,3,17,11,62,25,2,2,2,3,2,2,2,4,2,2,1,0,3104,0,0,1,0,0,0,2804,388,3192,4784345,192.168.37.39,94.23.150.81
utorrent,filesharing,0.0032463308278616373,8.296966552734375e-05,0.4073450565338135,0.011379584022177218,0.024418464791220965,8.296966552734375e-05,0.4073450565338135,0.042628766331072716,0.003680691117429858,0.0001239776611328125,0.9291868209838867,0.027739933252106143,9.998698949813843,9.998698949813843,9.998698949813843,0.0,0.0,0.0,0.0,0.0,9.998698949813843,461483.2412856983,308.04007756002534,1,1,1,1,1,1,1,1,-1,1,13.755208333333334,192,168,3.710144927536232,69,24,46,9,2,3,7,9,13,5,12,7,8,20,2,2,2,2,2,2,2,2,0,0,2937,0,0,0,0,0,0,2671,409,3080,4614232,192.168.37.39,94.23.150.81
utorrent,filesharing,0.0027600858568289474,7.510185241699219e-05,0.4037649631500244,0.00913639217618471,0.02728190133859823,7.510185241699219e-05,0.5680959224700928,0.04411232086352109,0.00306845640682457,0.00012421607971191406,0.849682092666626,0.019835419775562434,9.997030973434448,9.997030973434448,9.997030973434448,0.0,0.0,0.0,0.0,0.0,9.997030973434448,553183.3416036842,362.30757008004684,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,15.069767441860465,215,141,4.142857142857143,42,33,30,22,6,35,58,10,37,9,14,20,2,2,2,3,2,10,2,4,4,4,0,0,3471,0,0,0,0,0,0,3258,364,3622,5530191,192.168.37.39,94.23.150.81
