LABEL,CATEGORY,FLOWIAT_MEAN,FLOWIAT_MIN,FLOWIAT_MAX,FLOWIAT_STD,FIAT_MEAN,FIAT_MIN,FIAT_MAX,FIAT_STD,BIAT_MEAN,BIAT_MIN,BIAT_MAX,BIAT_STD,ACTIVE_MEAN,ACTIVE_MIN,ACTIVE_MAX,ACTIVE_STD,IDLE_MEAN,IDLE_MIN,IDLE_MAX,IDLE_STD,DURATION,FB_PSEC,FP_SEC,FIRST_PACKET_DIR_0,FIRST_PACKET_DIR_1,FIRST_PACKET_DIR_2,FIRST_PACKET_DIR_3,FIRST_PACKET_DIR_4,FIRST_PACKET_DIR_5,FIRST_PACKET_DIR_6,FIRST_PACKET_DIR_7,FIRST_PACKET_DIR_8,FIRST_PACKET_DIR_9,INCOMING_BURSTS_MEAN,INCOMING_BURSTS_COUNT,INCOMING_BURSTS_LONGEST,OUTGOING_BURSTS_MEAN,OUTGOING_BURSTS_COUNT,OUTGOING_BURSTS_LONGEST,FIRST_INCOMING_BURST_0,FIRST_INCOMING_BURST_1,FIRST_INCOMING_BURST_2,FIRST_INCOMING_BURST_3,FIRST_INCOMING_BURST_4,FIRST_INCOMING_BURST_5,FIRST_INCOMING_BURST_6,FIRST_INCOMING_BURST_7,FIRST_INCOMING_BURST_8,FIRST_INCOMING_BURST_9,FIRST_OUTGOING_BURST_0,FIRST_OUTGOING_BURST_1,FIRST_OUTGOING_BURST_2,FIRST_OUTGOING_BURST_3,FIRST_OUTGOING_BURST_4,FIRST_OUTGOING_BURST_5,FIRST_OUTGOING_BURST_6,FIRST_OUTGOING_BURST_7,FIRST_OUTGOING_BURST_8,FIRST_OUTGOING_BURST_9,SIZE_583,SIZE_595,SIZE_1500,SIZE_1097,SIZE_1138,SIZE_1109,SIZE_151,SIZE_1126,SIZE_233,TOT_IN_PACKETS,TOT_OUT_PACKETS,TOT_PACKETS,TOT_BYTES,IP_SRC,IP_DST
youtube,streaming,0.00460309303614029,9.202957153320312e-05,1.6086840629577637,0.03660223569840675,0.08490618885072887,0.0001289844512939453,1.9459810256958008,0.1875205155918317,0.004865294538198915,0.00011801719665527344,1.6782610416412354,0.03943844943427061,9.993314981460571,9.993314981460571,9.993314981460571,0.0,0.0,0.0,0.0,0.0,9.993314981460571,316772.9633132539,217.2452288382386,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,18.663636363636364,110,40,2.4,5,4,7,7,22,27,23,2,35,18,20,8,2,4,2,2,2,0,0,0,0,0,37,0,2004,5,0,0,1,17,0,2054,117,2171,3165612,192.168.37.39,94.23.150.81
youtube,streaming,0.006484023672409007,9.584426879882812e-05,1.5708239078521729,0.06503154295931844,0.09787866615113758,0.00012612342834472656,2.143686056137085,0.28844219361568385,0.006863576277623193,0.0001399517059326172,1.7399508953094482,0.07298521250844829,9.849231958389282,9.849231958389282,9.849231958389282,0.0,0.0,0.0,0.0,0.0,9.849231958389282,226147.48128688196,154.2252234912755,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,20.428571428571427,70,49,2.4285714285714284,7,4,9,16,46,5,25,49,29,32,27,8,4,2,2,2,2,2,3,0,0,0,16,1,1438,2,1,0,1,11,0,1435,84,1519,2227379,192.168.37.39,94.23.150.81
youtube,streaming,0.003487445263766418,9.107589721679688e-05,1.03385591506958,0.022920103562812735,0.07224737352399684,0.00012302398681640625,1.1009578704833984,0.1029363381091856,0.0035842395388294944,9.107589721679688e-05,1.0959968566894531,0.026613592789761803,9.681148052215576,9.681148052215576,9.681148052215576,0.0,0.0,0.0,0.0,0.0,9.681148052215576,421747.3979303092,286.7428516770487,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23.5625,112,45,2.125,16,4,26,29,28,26,3,26,5,30,29,6,2,2,2,2,2,2,2,2,2,2,20,1,2642,5,0,1,1,27,0,2642,134,2776,4082999,192.168.37.39,94.23.150.81
youtube,streaming,0.004872895035456067,8.988380432128906e-05,1.96156907081604,0.04788294119830006,0.09690606107517165,0.0001239776611328125,2.29569411277771,0.23915225401045195,0.005118924769343082,0.0001239776611328125,2.2743659019470215,0.058628161998105444,9.935832977294922,9.935832977294922,9.935832977294922,0.0,0.0,0.0,0.0,0.0,9.935832977294922,300799.33980670496,205.2168152040663,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,21.988636363636363,88,42,2.25,4,3,7,21,29,24,36,6,30,27,34,2,2,3,2,2,0,0,0,0,0,0,15,0,1943,2,0,0,0,9,0,1941,98,2039,2988692,192.168.37.39,94.23.150.81
youtube,streaming,0.014681673346559516,9.918212890625e-05,2.8057661056518555,0.16613820015097916,0.2642373970576695,0.0001277923583984375,3.101897954940796,0.700623774057759,0.012299151404907829,0.0001239776611328125,5.377557039260864,0.2182974676379919,2.0562468767166138,0.5760619640350342,3.5364317893981934,1.4801849126815796,5.327822208404541,5.327822208404541,5.327822208404541,0.0,9.440315961837769,100177.15549172123,68.11212703042047,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,20.93103448275862,29,36,2.25,4,3,18,22,28,15,17,23,30,23,26,26,3,2,2,2,0,0,0,0,0,0,6,0,601,2,1,0,1,10,0,608,35,643,945704,192.168.37.39,94.23.150.81
youtube,streaming,0.01267377950583294,0.00011181831359863281,2.03964900970459,0.10995221920312256,0.2103129545847575,0.00013589859008789062,2.03964900970459,0.4617116653279319,0.013444482313620077,0.00011181831359863281,2.289016008377075,0.12270546124867801,3.954633951187134,0.9205129146575928,6.988754987716675,3.034121036529541,2.03964900970459,2.03964900970459,2.03964900970459,0.0,9.948916912078857,115237.66960080455,78.90306120125912,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19.91891891891892,37,39,2.0,6,2,15,30,23,28,23,3,4,3,34,9,2,2,2,2,2,2,0,0,0,0,22,0,724,2,0,0,0,6,2,740,45,785,1146490,192.168.37.39,94.23.150.81
youtube,streaming,0.017556393732790086,0.00012803077697753906,3.5759739875793457,0.18551018346917464,0.31091806965489543,0.0001308917999267578,3.620615005493164,0.7374287206291099,0.014557839820743988,0.00018906593322753906,4.009793996810913,0.19076529018973645,3.031243085861206,3.0241200923919678,3.0383660793304443,0.007122993469238281,3.5759739875793457,3.5759739875793457,3.5759739875793457,0.0,9.638460159301758,82958.99830309881,56.95930583581635,1,-1,-1,1,-1,-1,-1,-1,-1,-1,21.541666666666668,24,34,2.6666666666666665,3,4,2,11,12,22,25,27,26,29,31,31,2,2,4,0,0,0,0,0,0,0,10,0,514,2,0,0,1,7,0,518,31,549,799597,192.168.37.39,94.23.150.81
youtube,streaming,0.021408905243051463,7.987022399902344e-05,1.877845048904419,0.15095913864747745,0.27453153133392333,0.0001227855682373047,2.579171895980835,0.5827420046103221,0.022888783485658707,7.987022399902344e-05,3.2734060287475586,0.21084972075647415,9.933732032775879,9.933732032775879,9.933732032775879,0.0,0.0,0.0,0.0,0.0,9.933732032775879,66585.85089849315,46.70953459073125,-1,-1,-1,1,-1,1,1,-1,-1,-1,17.32,25,39,2.0,5,2,3,11,20,27,23,3,27,28,36,39,2,2,2,2,2,0,0,0,0,0,16,0,419,4,0,0,0,6,0,434,30,464,661446,192.168.37.39,94.23.150.81
youtube,streaming,0.019710167643589894,0.00012302398681640625,2.5741498470306396,0.18528367731434006,0.3624956918799359,0.00013494491577148438,2.6057279109954834,0.7477710590051384,0.011654472947120666,0.00012302398681640625,3.0687098503112793,0.1544323953717625,1.609398603439331,1.0599291324615479,2.1588680744171143,0.5494694709777832,2.5593018531799316,2.5444538593292236,2.5741498470306396,0.014847993850708008,8.337400913238525,73718.29739218591,50.73523564500063,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23.41176470588235,17,37,2.5,2,3,19,25,37,12,37,26,26,11,24,36,2,3,0,0,0,0,0,0,0,0,5,0,395,3,0,0,0,2,0,400,23,423,614619,192.168.37.39,94.23.150.81
youtube,streaming,0.018961582020038868,0.00012111663818359375,2.0288000106811523,0.15310918201097348,0.2823733942849295,0.00012803077697753906,2.231431007385254,0.5351195309091407,0.016105027929429087,0.00012111663818359375,3.991943836212158,0.195875989438275,3.953534483909607,0.0006139278411865234,7.906455039978027,3.9529205560684204,2.0288000106811523,2.0288000106811523,2.0288000106811523,0.0,9.935868978500366,76573.37286213209,52.73821556361626,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20.666666666666668,24,38,2.3333333333333335,3,3,16,38,31,27,29,25,4,8,37,24,2,2,3,0,0,0,0,0,0,0,14,0,475,2,0,0,0,6,0,496,28,524,760823,192.168.37.39,94.23.150.81
