LABEL,CATEGORY,FLOWIAT_MEAN,FLOWIAT_MIN,FLOWIAT_MAX,FLOWIAT_STD,FIAT_MEAN,FIAT_MIN,FIAT_MAX,FIAT_STD,BIAT_MEAN,BIAT_MIN,BIAT_MAX,BIAT_STD,ACTIVE_MEAN,ACTIVE_MIN,ACTIVE_MAX,ACTIVE_STD,IDLE_MEAN,IDLE_MIN,IDLE_MAX,IDLE_STD,DURATION,FB_PSEC,FP_SEC,FIRST_PACKET_DIR_0,FIRST_PACKET_DIR_1,FIRST_PACKET_DIR_2,FIRST_PACKET_DIR_3,FIRST_PACKET_DIR_4,FIRST_PACKET_DIR_5,FIRST_PACKET_DIR_6,FIRST_PACKET_DIR_7,FIRST_PACKET_DIR_8,FIRST_PACKET_DIR_9,INCOMING_BURSTS_MEAN,INCOMING_BURSTS_COUNT,INCOMING_BURSTS_LONGEST,OUTGOING_BURSTS_MEAN,OUTGOING_BURSTS_COUNT,OUTGOING_BURSTS_LONGEST,FIRST_INCOMING_BURST_0,FIRST_INCOMING_BURST_1,FIRST_INCOMING_BURST_2,FIRST_INCOMING_BURST_3,FIRST_INCOMING_BURST_4,FIRST_INCOMING_BURST_5,FIRST_INCOMING_BURST_6,FIRST_INCOMING_BURST_7,FIRST_INCOMING_BURST_8,FIRST_INCOMING_BURST_9,FIRST_OUTGOING_BURST_0,FIRST_OUTGOING_BURST_1,FIRST_OUTGOING_BURST_2,FIRST_OUTGOING_BURST_3,FIRST_OUTGOING_BURST_4,FIRST_OUTGOING_BURST_5,FIRST_OUTGOING_BURST_6,FIRST_OUTGOING_BURST_7,FIRST_OUTGOING_BURST_8,FIRST_OUTGOING_BURST_9,SIZE_583,SIZE_595,SIZE_1500,SIZE_1097,SIZE_1138,SIZE_1109,SIZE_151,SIZE_1126,SIZE_233,TOT_IN_PACKETS,TOT_OUT_PACKETS,TOT_PACKETS,TOT_BYTES,IP_SRC,IP_DST
youtube,streaming,0.023915146259551354,9.298324584960938e-05,4.080720901489258,0.24210759941183307,0.4266393298194522,0.00029921531677246094,4.433809041976929,1.0119827846060283,0.013834856597470566,9.298324584960938e-05,2.6212689876556396,0.1478566605076486,1.3354499340057373,1.2104089260101318,1.4604909420013428,0.12504100799560547,3.160597562789917,2.240474224090576,4.080720901489258,0.9201233386993408,8.992094993591309,61376.019758837065,41.814504881006734,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22.0625,16,73,2.0,3,2,18,3,33,12,46,61,5,4,20,73,2,2,2,0,0,0,0,0,0,0,8,0,351,0,0,0,0,1,0,355,21,376,551899,192.168.37.39,94.23.150.81
youtube,streaming,0.012300544705924659,8.606910705566406e-05,4.621540069580078,0.1636099392882243,0.20672055508228057,0.00012683868408203125,5.071580171585083,0.7212266115832786,0.013055277866732048,8.606910705566406e-05,4.981204032897949,0.18172316676576158,2.689401388168335,1.8066718578338623,3.5721309185028076,0.8827295303344727,4.621540069580078,4.621540069580078,4.621540069580078,0.0,10.000342845916748,125728.08946379067,81.29721275825628,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21.194444444444443,36,41,2.2857142857142856,7,3,23,21,19,35,35,41,15,4,25,12,2,2,2,3,2,3,2,0,0,0,17,2,726,2,0,0,1,6,0,766,47,813,1257324,192.168.37.39,94.23.150.81
youtube,streaming,0.05411837330783706,0.000102996826171875,4.524885177612305,0.3847098943074848,0.6364907877785819,0.00014090538024902344,5.98640513420105,1.5286536901813932,0.05910296032303258,0.000102996826171875,4.5515971183776855,0.423290246404842,2.2293823957443237,1.8823888301849365,2.576375961303711,0.3469935655593872,4.524885177612305,4.524885177612305,4.524885177612305,0.0,8.983649969100952,25947.24870200256,18.478012897981667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18.875,8,37,2.5,4,3,16,18,37,31,23,21,2,3,0,0,2,2,3,3,0,0,0,0,0,0,10,1,144,0,0,0,0,1,1,152,14,166,233101,192.168.37.39,94.23.150.81
youtube,streaming,0.010904781690990652,8.606910705566406e-05,4.900300979614258,0.16558305606866253,0.20685485502084097,8.797645568847656e-05,4.937455177307129,0.706103875691081,0.011507117158387143,8.606910705566406e-05,5.904510021209717,0.20089033888453095,2.549691915512085,2.4439728260040283,2.6554110050201416,0.10571908950805664,4.900300979614258,4.900300979614258,4.900300979614258,0.0,9.999684810638428,137198.6243546819,91.70289037754725,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21.170731707317074,41,50,2.1666666666666665,6,3,13,18,27,20,24,26,17,8,35,27,2,2,2,3,2,2,0,0,0,0,14,1,848,3,1,0,1,6,0,869,48,917,1371943,192.168.37.39,94.23.150.81
youtube,streaming,0.13124029737123302,0.00037598609924316406,5.6422319412231445,0.6840624317457583,0.9286893129348754,0.00037598609924316406,6.185575008392334,1.7909545768963002,0.05156324730544794,0.0005478858947753906,1.7725350856781006,0.26522070619271976,1.8379145860671997,0.5304710865020752,3.145358085632324,1.3074434995651245,5.6422319412231445,5.6422319412231445,5.6422319412231445,0.0,9.318061113357544,10362.241546321895,7.61961089718769,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12.0,5,25,2.3333333333333335,3,3,13,2,4,16,25,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,6,0,57,0,0,0,0,1,0,61,10,71,96556,192.168.37.39,94.23.150.81
youtube,streaming,0.014231909050541277,9.822845458984375e-05,3.9921348094940186,0.16590883644248733,0.2694085997504157,0.00017380714416503906,6.341116189956665,1.019061941911606,0.015014399279345263,9.822845458984375e-05,3.9921348094940186,0.17378367371119507,3.0064486265182495,2.011552095413208,4.001345157623291,0.9948965311050415,3.9921348094940186,3.9921348094940186,3.9921348094940186,0.0,10.005032062530518,101754.79635019857,70.2646423925796,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21.451612903225808,31,47,2.25,4,3,33,26,34,16,16,18,36,16,3,42,2,3,2,2,0,0,0,0,0,0,17,0,650,0,0,0,2,3,2,666,37,703,1018060,192.168.37.39,94.23.150.81
youtube,streaming,0.035517028218062324,0.00015306472778320312,2.444674015045166,0.23573459978263234,0.45333940332586115,0.00015306472778320312,2.506718158721924,0.7619887741773195,0.037399173243165475,0.0002200603485107422,4.422930955886841,0.35829095528847554,3.7678054571151733,2.6133859157562256,4.922224998474121,1.1544195413589478,2.444674015045166,2.444674015045166,2.444674015045166,0.0,9.980284929275513,40163.08179981968,28.155508784697425,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,17.2,15,37,2.5,4,3,5,14,30,34,34,32,11,30,37,6,2,2,3,3,0,0,0,0,0,0,8,0,253,0,0,0,6,0,0,259,22,281,400839,192.168.37.39,94.23.150.81
youtube,streaming,0.02001574479911222,0.00012183189392089844,4.030088186264038,0.22830391140249806,0.3987136363983154,0.010397195816040039,7.096484184265137,1.379265417852767,0.019764490409834943,0.00012183189392089844,4.448431968688965,0.25091418440055757,0.957176923751831,0.00017404556274414062,1.909796953201294,0.7796064474535782,3.5481550693511963,3.0662219524383545,4.030088186264038,0.4819331169128418,9.967840909957886,73441.68176567466,49.960668965181554,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26.22222222222222,18,73,2.6666666666666665,3,3,9,54,43,24,9,12,42,39,73,15,2,3,3,0,0,0,0,0,0,0,6,1,471,0,0,0,1,3,0,473,25,498,732055,192.168.37.39,94.23.150.81
youtube,streaming,0.03122159991508875,9.989738464355469e-05,7.94356107711792,0.44921423066415433,0.541174398528205,0.00010704994201660156,7.94356107711792,1.7989672487945845,0.0318746737071446,9.989738464355469e-05,8.222904920578003,0.478630750061623,0.8987890481948853,0.4996790885925293,1.2978990077972412,0.39910995960235596,7.94356107711792,7.94356107711792,7.94356107711792,0.0,9.74113917350769,46742.06906295984,32.0291081405063,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.416666666666668,12,57,2.3333333333333335,3,3,30,15,32,24,16,33,28,8,21,57,2,2,3,0,0,0,0,0,0,0,7,0,293,0,0,0,0,1,0,294,18,312,455321,192.168.37.39,94.23.150.81
youtube,streaming,0.03461850156139224,8.296966552734375e-05,4.856004953384399,0.3269099240036809,0.5337440570195516,0.026787996292114258,5.305071115493774,1.2842346836235035,0.0185239315032959,8.296966552734375e-05,3.122642993927002,0.19723150275623147,1.1822850704193115,0.449066162109375,1.915503978729248,0.7332189083099365,3.681614398956299,2.5072238445281982,4.856004953384399,1.1743905544281006,9.72779893875122,41487.391191065115,28.886287820014566,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18.714285714285715,14,31,2.5,2,3,19,12,16,10,20,23,17,15,17,19,2,3,0,0,0,0,0,0,0,0,9,0,259,0,0,0,0,0,0,263,18,281,403581,192.168.37.39,94.23.150.81
