LABEL,CATEGORY,FLOWIAT_MEAN,FLOWIAT_MIN,FLOWIAT_MAX,FLOWIAT_STD,FIAT_MEAN,FIAT_MIN,FIAT_MAX,FIAT_STD,BIAT_MEAN,BIAT_MIN,BIAT_MAX,BIAT_STD,ACTIVE_MEAN,ACTIVE_MIN,ACTIVE_MAX,ACTIVE_STD,IDLE_MEAN,IDLE_MIN,IDLE_MAX,IDLE_STD,DURATION,FB_PSEC,FP_SEC,FIRST_PACKET_DIR_0,FIRST_PACKET_DIR_1,FIRST_PACKET_DIR_2,FIRST_PACKET_DIR_3,FIRST_PACKET_DIR_4,FIRST_PACKET_DIR_5,FIRST_PACKET_DIR_6,FIRST_PACKET_DIR_7,FIRST_PACKET_DIR_8,FIRST_PACKET_DIR_9,INCOMING_BURSTS_MEAN,INCOMING_BURSTS_COUNT,INCOMING_BURSTS_LONGEST,OUTGOING_BURSTS_MEAN,OUTGOING_BURSTS_COUNT,OUTGOING_BURSTS_LONGEST,FIRST_INCOMING_BURST_0,FIRST_INCOMING_BURST_1,FIRST_INCOMING_BURST_2,FIRST_INCOMING_BURST_3,FIRST_INCOMING_BURST_4,FIRST_INCOMING_BURST_5,FIRST_INCOMING_BURST_6,FIRST_INCOMING_BURST_7,FIRST_INCOMING_BURST_8,FIRST_INCOMING_BURST_9,FIRST_OUTGOING_BURST_0,FIRST_OUTGOING_BURST_1,FIRST_OUTGOING_BURST_2,FIRST_OUTGOING_BURST_3,FIRST_OUTGOING_BURST_4,FIRST_OUTGOING_BURST_5,FIRST_OUTGOING_BURST_6,FIRST_OUTGOING_BURST_7,FIRST_OUTGOING_BURST_8,FIRST_OUTGOING_BURST_9,SIZE_583,SIZE_595,SIZE_1500,SIZE_1097,SIZE_1138,SIZE_1109,SIZE_151,SIZE_1126,SIZE_233,TOT_IN_PACKETS,TOT_OUT_PACKETS,TOT_PACKETS,TOT_BYTES,IP_SRC,IP_DST
twitch,streaming,0.004287678831437439,3.2901763916015625e-05,0.27870607376098633,0.014584076138547489,0.043842577199053656,0.00010895729064941406,0.28121209144592285,0.04825243552888422,0.004750055598533069,0.00012183189392089844,0.5013868808746338,0.024501043972985442,9.99886703491211,9.99886703491211,9.99886703491211,0.0,0,0,0,0,9.99886703491211,334377.18376753957,233.22642373956705,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19.314814814814813,108,58,3.8055555555555554,36,16,26,32,20,4,9,2,19,16,23,40,3,2,2,2,5,5,2,2,2,2,22,14,2100,10,0,19,23,38,7,2105,227,2332,3343393,192.168.37.39,94.23.150.81
twitch,streaming,0.004198027297691774,2.86102294921875e-06,0.5637240409851074,0.017650257946442875,0.021278047048917382,0.00010085105895996094,0.5643250942230225,0.04502893090976656,0.005216328128900265,0.00012803077697753906,0.8278670310974121,0.03284509915427917,9.999701023101807,9.999701023101807,9.999701023101807,0.0,0,0,0,0,9.999701023101807,330400.37820802385,238.2071218426416,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16.29059829059829,117,48,9.047619047619047,42,34,27,3,8,4,12,9,3,9,7,27,2,19,2,16,9,2,3,2,2,12,37,25,1982,16,1,39,63,67,28,1917,465,2382,3303905,192.168.37.39,94.23.150.81
twitch,streaming,0.0032565039221549266,1.9073486328125e-06,0.21576404571533203,0.011702121309460068,0.009451675596518475,6.318092346191406e-05,0.49233412742614746,0.030328284135382962,0.004951692442305906,0.00011897087097167969,0.4796271324157715,0.022711444652117697,9.997467041015625,9.997467041015625,9.997467041015625,0.0,0,0,0,0,9.997467041015625,388374.3736359002,307.077781542566,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16.31967213114754,122,55,16.033333333333335,60,101,13,19,20,3,2,26,28,39,3,2,10,15,21,2,12,19,20,18,18,18,139,82,2097,113,0,100,83,134,170,2019,1051,3070,3882760,192.168.37.39,94.23.150.81
twitch,streaming,0.0024852301350873503,3.0994415283203125e-06,0.14145302772521973,0.006480341441722102,0.010682117029880478,0.00011992454528808594,0.17325901985168457,0.023636921807161253,0.003234258706070297,0.00011801719665527344,0.32514405250549316,0.01182799303517991,9.990625143051147,9.990625143051147,9.990625143051147,0.0,0,0,0,0,9.990625143051147,546162.8198306694,402.37722289040744,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16.21693121693122,189,60,11.73134328358209,67,53,13,10,13,5,12,8,4,17,36,3,2,19,11,2,8,3,3,31,8,2,83,83,3177,119,1,99,77,85,112,3089,931,4020,5456508,192.168.37.39,94.23.150.81
twitch,streaming,0.002545192602393704,7.152557373046875e-06,0.16560006141662598,0.007681135141994728,0.009719584577827043,1.5020370483398438e-05,0.20804405212402344,0.02335450761688888,0.003422858096630952,0.0001251697540283203,0.3824291229248047,0.016313185406926445,9.99242615699768,9.99242615699768,9.99242615699768,0.0,0,0,0,0,9.99242615699768,525002.8289001863,392.89757445449106,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17.790123456790123,162,54,14.770491803278688,61,62,17,24,6,6,5,11,28,10,41,40,2,12,18,25,62,24,19,16,15,17,159,76,3031,65,1,59,73,96,124,2903,1023,3926,5246052,192.168.37.39,94.23.150.81
twitch,streaming,0.0027831706544073228,1.5020370483398438e-05,0.14400506019592285,0.007998733865256366,0.008892298597006845,3.719329833984375e-05,0.14400506019592285,0.022100338014678728,0.003975971671573748,0.00012993812561035156,0.3623988628387451,0.0163964120190251,9.997148990631104,9.997148990631104,9.997148990631104,0.0,0,0,0,0,9.997148990631104,469752.22679996665,359.302437461547,1,1,1,1,1,1,1,-1,1,1,15.941558441558442,154,51,14.528571428571428,70,81,9,3,5,24,2,22,3,27,27,11,7,18,2,54,9,14,2,2,2,17,124,108,2571,111,1,116,116,131,88,2473,1119,3592,4696183,192.168.37.39,94.23.150.81
twitch,streaming,0.002797287827605134,1.1920928955078125e-06,0.16387510299682617,0.007845169832259403,0.012104304670130165,1.1920928955078125e-06,0.20196104049682617,0.02650478623389761,0.0036351523023221938,0.0001220703125,0.37831997871398926,0.015397804916690403,10.000303983688354,10.000303983688354,10.000303983688354,0.0,0,0,0,0,10.000303983688354,483997.28727194614,357.48913291348305,-1,-1,-1,-1,-1,-1,-1,1,1,-1,18.18,150,55,12.836363636363636,55,49,7,27,11,39,28,6,22,31,2,18,2,12,2,34,27,17,23,8,6,3,72,44,2819,46,1,50,86,103,97,2751,824,3575,4840120,192.168.37.39,94.23.150.81
twitch,streaming,0.0026468885988392313,9.059906005859375e-06,0.14612698554992676,0.007011905505379772,0.010249218744100983,1.5020370483398438e-05,0.1793220043182373,0.023698715567279083,0.0035635839189801896,0.000102996826171875,0.3864271640777588,0.014103283246237885,9.978770017623901,9.978770017623901,9.978770017623901,0.0,0,0,0,0,9.978770017623901,501738.6903553651,377.8020731354319,1,1,1,1,1,1,1,1,1,1,16.11046511627907,172,43,12.308823529411764,68,29,32,37,29,4,2,2,21,21,23,10,14,16,14,9,7,29,17,7,2,2,178,109,2880,85,0,83,106,50,63,2800,970,3770,5006735,192.168.37.39,94.23.150.81
twitch,streaming,0.003061174506615351,2.7894973754882812e-05,0.15298199653625488,0.00958713531710174,0.009779583917905206,5.0067901611328125e-05,0.22124695777893066,0.023983983186919435,0.004282880988016864,0.00011491775512695312,0.3832731246948242,0.020782743944703384,9.994734764099121,9.994734764099121,9.994734764099121,0.0,0,0,0,0,9.994734764099121,425416.591871235,326.6720005144921,1,1,1,1,1,1,1,1,1,1,16.451851851851853,135,47,15.89655172413793,58,78,26,33,15,12,34,20,32,17,4,26,23,24,3,23,2,9,18,18,17,6,124,93,2339,55,2,79,115,132,82,2243,1022,3265,4251926,192.168.37.39,94.23.150.81
twitch,streaming,0.0028867419840245536,5.0067901611328125e-06,0.1306610107421875,0.008275463201390686,0.010842817114321321,9.799003601074219e-05,0.16637492179870605,0.02432348897982035,0.003917882606643653,0.0001239776611328125,0.4964451789855957,0.019506336416084014,10.014107942581177,10.014107942581177,10.014107942581177,0.0,0,0,0,0,10.014107942581177,472743.55610548425,346.41128494824784,-1,1,1,1,1,1,1,1,-1,-1,16.050632911392405,158,58,11.985074626865671,67,72,11,22,8,15,11,10,10,18,4,24,7,11,6,17,15,2,19,21,9,12,100,75,2715,38,1,104,70,81,50,2556,913,3469,4734105,192.168.37.39,94.23.150.81
