LABEL,CATEGORY,FLOWIAT_MEAN,FLOWIAT_MIN,FLOWIAT_MAX,FLOWIAT_STD,FIAT_MEAN,FIAT_MIN,FIAT_MAX,FIAT_STD,BIAT_MEAN,BIAT_MIN,BIAT_MAX,BIAT_STD,ACTIVE_MEAN,ACTIVE_MIN,ACTIVE_MAX,ACTIVE_STD,IDLE_MEAN,IDLE_MIN,IDLE_MAX,IDLE_STD,DURATION,FB_PSEC,FP_SEC,FIRST_PACKET_DIR_0,FIRST_PACKET_DIR_1,FIRST_PACKET_DIR_2,FIRST_PACKET_DIR_3,FIRST_PACKET_DIR_4,FIRST_PACKET_DIR_5,FIRST_PACKET_DIR_6,FIRST_PACKET_DIR_7,FIRST_PACKET_DIR_8,FIRST_PACKET_DIR_9,INCOMING_BURSTS_MEAN,INCOMING_BURSTS_COUNT,INCOMING_BURSTS_LONGEST,OUTGOING_BURSTS_MEAN,OUTGOING_BURSTS_COUNT,OUTGOING_BURSTS_LONGEST,FIRST_INCOMING_BURST_0,FIRST_INCOMING_BURST_1,FIRST_INCOMING_BURST_2,FIRST_INCOMING_BURST_3,FIRST_INCOMING_BURST_4,FIRST_INCOMING_BURST_5,FIRST_INCOMING_BURST_6,FIRST_INCOMING_BURST_7,FIRST_INCOMING_BURST_8,FIRST_INCOMING_BURST_9,FIRST_OUTGOING_BURST_0,FIRST_OUTGOING_BURST_1,FIRST_OUTGOING_BURST_2,FIRST_OUTGOING_BURST_3,FIRST_OUTGOING_BURST_4,FIRST_OUTGOING_BURST_5,FIRST_OUTGOING_BURST_6,FIRST_OUTGOING_BURST_7,FIRST_OUTGOING_BURST_8,FIRST_OUTGOING_BURST_9,SIZE_583,SIZE_595,SIZE_1500,SIZE_1097,SIZE_1138,SIZE_1109,SIZE_151,SIZE_1126,SIZE_233,TOT_IN_PACKETS,TOT_OUT_PACKETS,TOT_PACKETS,TOT_BYTES,IP_SRC,IP_DST
torbrowser_alpha,web_and_social,0.18308592284167255,0.001878976821899414,1.4118430614471436,0.3295611324900751,0.18654037421604372,0.001878976821899414,1.4118430614471436,0.33182829582315065,0.0,0.0,0.0,0.0,9.886639833450317,9.886639833450317,9.886639833450317,0.0,0.0,0.0,0.0,0.0,9.886639833450317,5580.763629450897,5.461916374994987,1,1,1,1,1,1,1,1,1,1,0.0,0,0,26.5,2,41,0,0,0,0,0,0,0,0,0,0,12,41,0,0,0,0,0,0,0,0,4,3,7,10,0,1,3,13,4,1,53,54,55175,192.168.37.39,94.23.150.81
torbrowser_alpha,web_and_social,0.006758876563676822,4.291534423828125e-05,0.661005973815918,0.03202297506465429,0.02645671214419956,0.000125885009765625,0.8210020065307617,0.07479004983448034,0.00811919384520896,0.00011587142944335938,0.9402618408203125,0.050342125892885656,10.341081142425537,10.341081142425537,10.341081142425537,0.0,0.0,0.0,0.0,0.0,10.341081142425537,200600.39868456504,147.95358231191028,1,1,1,1,1,1,1,1,1,1,13.695121951219512,82,48,8.81081081081081,37,42,2,2,5,10,3,2,3,7,3,6,15,3,2,23,16,2,2,9,42,3,46,72,1195,53,1,38,2,11,32,1141,389,1530,2074425,192.168.37.39,94.23.150.81
torbrowser_alpha,web_and_social,0.0027069688553286037,9.5367431640625e-07,0.11359620094299316,0.005554533848681772,0.020622966695128635,9.5367431640625e-07,0.12735390663146973,0.029052145220560793,0.0031131827371058103,0.00011706352233886719,0.1262500286102295,0.007412506696788832,9.999542951583862,9.999542951583862,9.999542951583862,0.0,0.0,0.0,0.0,0.0,9.999542951583862,525455.015838274,369.4168841401791,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16.374358974358973,195,63,6.604166666666667,48,22,23,22,8,31,33,29,23,25,8,17,21,10,12,2,2,14,21,2,10,2,41,56,3271,38,0,2,29,48,33,3212,482,3694,5254310,192.168.37.39,94.23.150.81
torbrowser_alpha,web_and_social,0.00780940299897682,9.894371032714844e-05,0.4315450191497803,0.023455118772780094,0.02317537052530638,9.894371032714844e-05,0.4315450191497803,0.04984902856829941,0.011528058074661906,0.00013208389282226562,0.7129571437835693,0.043157812509534085,9.917941808700562,9.917941808700562,9.917941808700562,0.0,0.0,0.0,0.0,0.0,9.917941808700562,168198.10321296522,128.05076138739656,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10.697368421052632,76,46,9.179487179487179,39,54,13,21,21,21,39,8,4,18,15,9,14,2,2,20,2,37,2,17,2,2,73,56,850,87,0,36,5,53,3,844,426,1270,1668179,192.168.37.39,94.23.150.81
torbrowser_alpha,web_and_social,0.013430178955948321,0.000125885009765625,0.4805572032928467,0.03765243811280481,0.02588980000253786,0.0001308917999267578,0.4805572032928467,0.06307756134234854,0.026998847723007202,0.000125885009765625,1.1659622192382812,0.09033248061904933,10.126354932785034,10.126354932785034,10.126354932785034,0.0,0.0,0.0,0.0,0.0,10.126354932785034,81800.90521201806,74.45917163725454,1,1,1,1,1,1,1,1,1,1,8.675,40,26,10.027777777777779,36,35,4,2,26,9,24,14,7,11,10,10,15,7,16,3,19,3,35,2,16,18,72,3,357,55,0,20,66,11,53,368,386,754,828345,192.168.37.39,94.23.150.81
torbrowser_alpha,web_and_social,0.00858744938079625,5.91278076171875e-05,0.27814197540283203,0.02451366741192382,0.02476896778229744,0.00015687942504882812,0.3695039749145508,0.05086357506707888,0.013040835249657724,0.0001201629638671875,0.4275979995727539,0.04556574225659933,10.03014087677002,10.03014087677002,10.03014087677002,0.0,0.0,0.0,0.0,0.0,10.03014087677002,148649.35780245336,116.4490124665256,1,-1,1,1,1,1,1,1,1,1,14.938775510204081,49,52,9.447368421052632,38,30,5,2,16,2,2,6,2,14,21,6,10,2,3,2,2,2,19,17,19,2,124,23,763,42,0,9,16,67,23,765,403,1168,1490974,192.168.37.39,94.23.150.81
torbrowser_alpha,web_and_social,0.03801747521416086,0.013522863388061523,1.6712698936462402,0.1403818756410556,0.03887377666826008,0.013522863388061523,1.6712698936462402,0.14318734332417918,0.20310735702514648,0.10990214347839355,0.4712870121002197,0.14394047610305422,9.276263952255249,9.276263952255249,9.276263952255249,0.0,0.0,0.0,0.0,0.0,9.276263952255249,21254.78544107891,26.303693087633476,-1,1,-1,1,1,-1,1,1,1,1,0.0,0,0,78.33333333333333,3,201,0,0,0,0,0,0,0,0,0,0,2,32,201,0,0,0,0,0,0,0,13,3,10,22,0,49,51,32,33,6,238,244,197165,192.168.37.39,94.23.150.81
torbrowser_alpha,web_and_social,0.025258618531767855,0.0038819313049316406,0.8359689712524414,0.0885560804159323,0.02532388627991196,0.0038819313049316406,0.8359689712524414,0.08867021754590618,0.0,0.0,0.0,0.0,9.800343990325928,9.800343990325928,9.800343990325928,0.0,0.0,0.0,0.0,0.0,9.800343990325928,41728.943433382425,39.59044706828667,1,1,1,1,1,1,1,1,1,1,0.0,0,0,193.5,2,273,0,0,0,0,0,0,0,0,0,0,273,114,0,0,0,0,0,0,0,0,29,10,54,54,0,61,30,69,14,1,387,388,408958,192.168.37.39,94.23.150.81
torbrowser_alpha,web_and_social,0.036756929644831904,0.001979827880859375,0.9386460781097412,0.11822448725831047,0.037592314409487175,0.009104013442993164,0.9386460781097412,0.12107567175187586,0.8494178056716919,0.08727097511291504,3.847058057785034,1.3598703224756468,9.924371004104614,9.924371004104614,9.924371004104614,0.0,0.0,0.0,0.0,0.0,9.924371004104614,20465.88140608563,27.205754388699383,1,1,1,1,1,1,1,1,1,1,0.0,0,0,43.833333333333336,6,118,0,0,0,0,0,0,0,0,0,0,103,9,19,118,4,10,0,0,0,0,75,16,11,39,0,12,28,56,31,6,264,270,203111,192.168.37.39,94.23.150.81
torbrowser_alpha,web_and_social,0.027435706761068927,0.00011205673217773438,0.7977290153503418,0.09427378874012801,0.02927485566872817,0.00011205673217773438,0.7977290153503418,0.10442808286133631,0.32630390470678156,0.007467031478881836,1.7427701950073242,0.41014400475994556,9.163526058197021,9.163526058197021,9.163526058197021,0.0,0.0,0.0,0.0,0.0,9.163526058197021,25740.200715532097,36.44885144416957,-1,1,-1,1,1,1,1,1,1,-1,2.0,2,2,25.333333333333332,12,69,2,2,0,0,0,0,0,0,0,0,6,19,23,15,13,14,24,22,69,50,87,1,16,21,0,69,36,2,73,22,312,334,235871,192.168.37.39,94.23.150.81
torbrowser_alpha,web_and_social,0.03409219344456991,0.00026106834411621094,0.8241710662841797,0.1093442942936562,0.03526778632196887,0.00026106834411621094,0.9906749725341797,0.12190769561190312,0.8377506971359253,0.18572092056274414,1.9940948486328125,0.6535479840973671,10.227658033370972,10.227658033370972,10.227658033370972,0.0,0.0,0.0,0.0,0.0,10.227658033370972,22073.675054775984,29.332228259994128,1,-1,1,-1,1,1,1,1,1,1,2.0,1,2,36.0,8,87,2,0,0,0,0,0,0,0,0,0,38,2,87,2,2,75,32,50,0,0,55,42,16,16,0,26,56,14,26,10,290,300,225762,192.168.37.39,94.23.150.81
torbrowser_alpha,web_and_social,0.02599513622666386,0.0008590221405029297,0.612281084060669,0.08525871338347048,0.026265215564083743,0.0008590221405029297,0.6404290199279785,0.09007550715526366,0.9084002375602722,1.0124499797821045,1.597074031829834,0.5752542991016673,10.112107992172241,10.112107992172241,10.112107992172241,0.0,0.0,0.0,0.0,0.0,10.112107992172241,28572.677450009436,38.46873473870374,1,1,1,1,1,1,1,1,1,1,0.0,0,0,77.0,5,119,0,0,0,0,0,0,0,0,0,0,119,29,68,53,116,0,0,0,0,0,54,81,70,31,0,2,75,5,41,4,385,389,288930,192.168.37.39,94.23.150.81
torbrowser_alpha,web_and_social,0.061983092331591945,0.0002391338348388672,1.32309889793396,0.15120869442866045,0.06325563531837716,0.0017440319061279297,1.32309889793396,0.16275809535187502,0.8936961780894886,0.0002391338348388672,5.470983982086182,1.509942602359877,10.041260957717896,10.041260957717896,10.041260957717896,0.0,0.0,0.0,0.0,0.0,10.041260957717896,9260.191562746988,16.133431914791924,-1,1,1,1,1,1,1,1,1,1,3.0,1,3,18.75,8,108,3,0,0,0,0,0,0,0,0,0,13,9,8,108,3,3,4,2,0,0,33,3,6,21,0,1,20,14,59,11,151,162,92984,192.168.37.39,94.23.150.81
torbrowser_alpha,web_and_social,0.0081788979440069,3.790855407714844e-05,0.7659530639648438,0.041758188812902955,0.02535717146737235,0.00013208389282226562,0.7659530639648438,0.07474598417420365,0.011972724098757088,0.00012302398681640625,4.4849419593811035,0.16024781134300456,9.937361001968384,9.937361001968384,9.937361001968384,0.0,0.0,0.0,0.0,0.0,9.937361001968384,161710.6392413128,122.26586110329833,-1,-1,-1,1,1,-1,1,-1,1,-1,18.2,45,53,23.0,15,146,3,4,2,4,3,8,11,2,15,3,2,2,69,14,10,16,9,4,17,18,30,68,876,50,0,50,24,12,21,830,385,1215,1606977,192.168.37.39,94.23.150.81
torbrowser_alpha,web_and_social,0.02225234546187769,0.00011992454528808594,1.190100908279419,0.09092648118392806,0.04124597924523773,0.00013184547424316406,1.190100908279419,0.13015805341098338,0.044661676182466394,0.00011992454528808594,4.741176128387451,0.3358811751313776,9.857789039611816,9.857789039611816,9.857789039611816,0.0,0.0,0.0,0.0,0.0,9.857789039611816,52229.460169120706,44.939083015459275,1,-1,-1,-1,1,-1,1,1,1,-1,10.157894736842104,19,35,15.857142857142858,14,87,3,2,3,2,2,2,2,8,6,14,3,2,7,7,25,18,12,2,2,14,24,37,219,32,0,2,37,26,2,204,239,443,514867,192.168.37.39,94.23.150.81
