LABEL,CATEGORY,FLOWIAT_MEAN,FLOWIAT_MIN,FLOWIAT_MAX,FLOWIAT_STD,FIAT_MEAN,FIAT_MIN,FIAT_MAX,FIAT_STD,BIAT_MEAN,BIAT_MIN,BIAT_MAX,BIAT_STD,ACTIVE_MEAN,ACTIVE_MIN,ACTIVE_MAX,ACTIVE_STD,IDLE_MEAN,IDLE_MIN,IDLE_MAX,IDLE_STD,DURATION,FB_PSEC,FP_SEC,FIRST_PACKET_DIR_0,FIRST_PACKET_DIR_1,FIRST_PACKET_DIR_2,FIRST_PACKET_DIR_3,FIRST_PACKET_DIR_4,FIRST_PACKET_DIR_5,FIRST_PACKET_DIR_6,FIRST_PACKET_DIR_7,FIRST_PACKET_DIR_8,FIRST_PACKET_DIR_9,INCOMING_BURSTS_MEAN,INCOMING_BURSTS_COUNT,INCOMING_BURSTS_LONGEST,OUTGOING_BURSTS_MEAN,OUTGOING_BURSTS_COUNT,OUTGOING_BURSTS_LONGEST,FIRST_INCOMING_BURST_0,FIRST_INCOMING_BURST_1,FIRST_INCOMING_BURST_2,FIRST_INCOMING_BURST_3,FIRST_INCOMING_BURST_4,FIRST_INCOMING_BURST_5,FIRST_INCOMING_BURST_6,FIRST_INCOMING_BURST_7,FIRST_INCOMING_BURST_8,FIRST_INCOMING_BURST_9,FIRST_OUTGOING_BURST_0,FIRST_OUTGOING_BURST_1,FIRST_OUTGOING_BURST_2,FIRST_OUTGOING_BURST_3,FIRST_OUTGOING_BURST_4,FIRST_OUTGOING_BURST_5,FIRST_OUTGOING_BURST_6,FIRST_OUTGOING_BURST_7,FIRST_OUTGOING_BURST_8,FIRST_OUTGOING_BURST_9,SIZE_583,SIZE_595,SIZE_1500,SIZE_1097,SIZE_1138,SIZE_1109,SIZE_151,SIZE_1126,SIZE_233,TOT_IN_PACKETS,TOT_OUT_PACKETS,TOT_PACKETS,TOT_BYTES,IP_SRC,IP_DST
youtube,streaming,0.0044062235367991935,3.719329833984375e-05,0.5457320213317871,0.019733538677260125,0.04642067334362279,0.0001289844512939453,0.5457320213317871,0.0654240852398873,0.004865294538198915,0.00011801719665527344,1.6782610416412354,0.03943844943427061,9.993314981460571,9.993314981460571,9.993314981460571,0.0,0.0,0.0,0.0,0.0,9.993314981460571,324442.990740809,226.95171764400052,-1,-1,-1,-1,-1,-1,-1,1,-1,1,14.215277777777779,144,39,5.266666666666667,15,15,7,6,22,17,10,7,16,2,29,6,2,4,2,2,4,2,2,6,10,8,49,3,2010,14,0,18,26,30,4,2054,214,2268,3242261,192.168.37.39,94.23.150.81
youtube,streaming,0.004911819075410034,2.384185791015625e-05,0.4470829963684082,0.022012623684879617,0.0166985065447361,2.384185791015625e-05,0.4470829963684082,0.04301246044818301,0.006863576277623193,0.0001399517059326172,1.7399508953094482,0.07298521250844829,9.966080904006958,9.966080904006958,9.966080904006958,0.0,0.0,0.0,0.0,0.0,9.966080904006958,265964.8286553935,203.5905607774287,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,15.833333333333334,90,48,19.296296296296298,27,128,9,15,6,11,28,5,25,4,45,29,41,12,7,20,3,13,2,2,6,128,66,16,1504,20,1,72,116,119,38,1435,594,2029,2650627,192.168.37.39,94.23.150.81
youtube,streaming,0.002895298935170798,1.9073486328125e-06,0.25989818572998047,0.01054688408289934,0.012338977684209376,0.00012302398681640625,0.25989818572998047,0.028145206026279023,0.0035842395388294944,9.107589721679688e-05,1.0959968566894531,0.026613592789761803,9.994571924209595,9.994571924209595,9.994571924209595,0.0,0.0,0.0,0.0,0.0,9.994571924209595,462179.27441302687,345.38747894127505,1,1,1,1,1,1,1,1,1,1,16.61392405063291,158,45,12.321428571428571,56,61,26,29,12,16,14,12,2,26,5,23,21,2,18,21,6,11,12,6,16,10,129,122,2718,47,0,60,76,71,81,2642,810,3452,4619284,192.168.37.39,94.23.150.81
youtube,streaming,0.0037932205988652095,2.4080276489257812e-05,0.3873281478881836,0.01810202701406721,0.012000089329011684,0.0001239776611328125,0.50388503074646,0.03687413696633563,0.004688104298895555,0.0001239776611328125,2.2743659019470215,0.05601264979394548,10.093760013580322,10.093760013580322,10.093760013580322,0.0,0.0,0.0,0.0,0.0,10.093760013580322,343571.27525661315,263.62822143778374,1,1,1,1,1,1,1,1,1,1,15.478632478632479,117,42,22.484848484848484,33,202,7,21,11,18,24,28,8,6,30,27,202,21,15,2,18,19,2,198,15,2,142,29,1893,69,0,74,97,136,53,1823,838,2661,3467926,192.168.37.39,94.23.150.81
youtube,streaming,0.006394635589079869,3.504753112792969e-05,0.4513969421386719,0.026684793780228817,0.011985515686402838,0.0001277923583984375,0.4513969421386719,0.03771856734926397,0.012377174761012895,0.0001239776611328125,5.377557039260864,0.20305980532686502,9.950052976608276,9.950052976608276,9.950052976608276,0.0,0.0,0.0,0.0,0.0,9.950052976608276,160642.86328502104,156.3810769307483,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,15.319148936170214,47,36,44.166666666666664,18,430,3,17,18,2,26,9,18,15,9,4,8,21,16,75,14,15,14,16,430,26,55,117,745,63,1,80,167,47,209,726,830,1556,1598405,192.168.37.39,94.23.150.81
youtube,streaming,0.00815167573356312,5.7220458984375e-05,0.4289529323577881,0.032890361173687876,0.016891616726249354,0.00011181831359863281,0.4289529323577881,0.049306344498738684,0.011197578448515672,0.00011181831359863281,1.805211067199707,0.09707377010865088,9.830920934677124,9.830920934677124,9.830920934677124,0.0,0.0,0.0,0.0,0.0,9.830920934677124,153364.3704407961,122.67416328677946,1,1,1,1,1,1,1,1,1,1,16.594594594594593,37,39,25.272727272727273,22,121,12,3,30,17,5,28,23,3,3,34,121,31,17,2,35,22,26,7,17,86,82,73,669,56,0,73,39,86,7,624,582,1206,1507713,192.168.37.39,94.23.150.81
youtube,streaming,0.007524067344087543,7.009506225585938e-05,0.5953419208526611,0.035614576602160886,0.012368329880691852,0.0001308917999267578,0.5953419208526611,0.04627797879140831,0.011915367392091732,0.00018906593322753906,2.4686858654022217,0.13148639305062948,9.931768894195557,9.931768894195557,9.931768894195557,0.0,0.0,0.0,0.0,0.0,9.931768894195557,148012.0022586437,132.90683805293236,1,1,1,1,1,1,1,1,1,1,13.81081081081081,37,29,40.94736842105263,19,208,9,20,26,25,23,2,5,3,2,10,146,18,2,142,64,20,10,15,17,21,70,133,637,58,0,59,90,95,82,517,803,1320,1470021,192.168.37.39,94.23.150.81
youtube,streaming,0.009963608026504516,7.987022399902344e-05,0.654224157333374,0.039978247205584475,0.017510734668724985,0.00013303756713867188,0.654224157333374,0.054417493042781505,0.017844071797594393,7.987022399902344e-05,3.5834810733795166,0.1873483046004814,9.963608026504517,9.963608026504517,9.963608026504517,0.0,0.0,0.0,0.0,0.0,9.963608026504517,110261.06176372895,100.36524894795816,1,1,1,1,1,1,1,1,1,1,14.2,30,39,36.53333333333333,15,203,10,10,12,22,20,11,28,3,3,11,90,2,15,203,7,76,3,20,2,2,105,53,497,59,0,35,82,70,50,431,569,1000,1098598,192.168.37.39,94.23.150.81
youtube,streaming,0.008418067513522075,2.09808349609375e-05,0.39244508743286133,0.03481680769554483,0.012835360753039518,0.0001227855682373047,0.39244508743286133,0.04346128747188623,0.016847412284491374,0.00016808509826660156,3.2734060287475586,0.1889800754092567,9.85755705833435,9.85755705833435,9.85755705833435,0.0,0.0,0.0,0.0,0.0,9.85755705833435,134665.81954782072,118.79210975603179,1,1,1,1,1,1,1,1,1,1,12.46875,32,37,37.55,20,169,11,7,5,8,27,13,10,28,6,3,161,13,2,12,12,12,11,15,169,92,93,45,464,107,0,112,48,86,74,403,768,1171,1327476,192.168.37.39,94.23.150.81
youtube,streaming,0.007213118321755353,0.00011205673217773438,0.4566669464111328,0.03103442050779521,0.011314695406675063,0.00012803077697753906,0.4566669464111328,0.03992937905521485,0.017521539517880453,0.00012302398681640625,6.439446926116943,0.29005522332094036,9.80984091758728,9.80984091758728,9.80984091758728,0.0,0.0,0.0,0.0,0.0,9.80984091758728,148056.22356180043,138.63629506588273,1,1,1,1,1,1,1,1,1,1,13.297297297297296,37,38,47.0,18,517,11,11,5,7,7,16,29,4,27,12,97,31,12,11,517,15,2,11,10,10,143,39,543,173,0,81,154,69,51,493,867,1360,1452408,192.168.37.39,94.23.150.81
youtube,streaming,0.007551648350674362,7.915496826171875e-05,0.42572689056396484,0.034298562831010806,0.014067214820138804,0.001049041748046875,0.6387848854064941,0.05109830959752513,0.011693931407615786,0.00012111663818359375,3.991943836212158,0.16521718615251135,9.945520877838135,9.945520877838135,9.945520877838135,0.0,0.0,0.0,0.0,0.0,9.945520877838135,155108.2159444748,132.42142027319107,1,1,1,1,1,1,1,1,1,1,15.15,40,37,51.92307692307692,13,275,12,8,24,13,8,5,4,25,18,3,71,2,12,275,7,54,57,9,6,13,86,36,681,90,0,116,87,126,44,610,707,1317,1542632,192.168.37.39,94.23.150.81
youtube,streaming,0.007323505593325754,0.00013399124145507812,0.38811588287353516,0.031646204503931546,0.014178889380259947,0.00015997886657714844,0.38811588287353516,0.044992956309586794,0.012800434109654521,0.00013399124145507812,5.58772611618042,0.2190269413638005,9.981938123703003,9.981938123703003,9.981938123703003,0.0,0.0,0.0,0.0,0.0,9.981938123703003,160156.9735444261,136.54662883187333,1,1,1,1,1,1,1,1,1,1,15.926829268292684,41,34,51.46153846153846,13,378,10,27,29,33,19,3,10,4,22,13,12,14,2,378,41,9,20,2,2,41,131,49,691,74,0,79,46,113,63,659,704,1363,1598677,192.168.37.39,94.23.150.81
youtube,streaming,0.006339213223863475,5.602836608886719e-05,0.30989503860473633,0.027230277846855333,0.011289497707666976,0.00017881393432617188,0.30989503860473633,0.037522696145012566,0.01285224166705454,0.0001010894775390625,6.374556064605713,0.2422521490286593,10.047652959823608,10.047652959823608,10.047652959823608,0.0,0.0,0.0,0.0,0.0,10.047652959823608,181476.7097640692,157.7482827420251,1,1,1,1,1,1,1,1,1,1,15.377777777777778,45,39,57.06666666666667,15,597,11,26,7,17,5,30,21,12,6,8,36,34,9,597,20,11,11,2,2,17,112,107,779,115,0,129,51,67,100,695,890,1585,1823415,192.168.37.39,94.23.150.81
youtube,streaming,0.007571687771163824,0.00011801719665527344,0.47908616065979004,0.033273759024331065,0.012749242905173019,0.0007729530334472656,0.47908616065979004,0.0447073611837483,0.01743794742383455,0.00011801719665527344,2.846400022506714,0.17461018126823238,9.91891098022461,9.91891098022461,9.91891098022461,0.0,0.0,0.0,0.0,0.0,9.91891098022461,152610.3019795145,132.07095039079942,1,1,1,1,1,1,1,1,1,1,13.487179487179487,39,35,49.8,15,243,7,12,15,2,23,5,17,13,22,2,28,17,20,10,115,21,243,79,106,7,90,113,582,50,0,96,73,68,35,532,778,1310,1513728,192.168.37.39,94.23.150.81
youtube,streaming,0.007299058608394416,2.5033950805664062e-05,0.38010692596435547,0.03030094270469569,0.011688762085658585,0.00011086463928222656,0.38010692596435547,0.038529744223512484,0.01455676392969797,0.00012803077697753906,3.711395025253296,0.1828524657332821,9.970514059066772,9.970514059066772,9.970514059066772,0.0,0.0,0.0,0.0,0.0,9.970514059066772,152315.81751985868,137.00396909403244,1,1,1,1,1,1,1,1,1,1,15.875,32,40,46.27777777777778,18,281,17,2,3,31,21,6,30,10,11,13,106,17,12,135,7,281,18,7,21,12,71,41,643,152,0,113,130,52,89,513,853,1366,1518667,192.168.37.39,94.23.150.81
youtube,streaming,0.007422933419785954,5.793571472167969e-05,0.38381290435791016,0.030713133157190115,0.01351376975293629,0.00022101402282714844,0.38381290435791016,0.043074789764158405,0.014553634180205435,0.00011992454528808594,6.2865149974823,0.2566082303153475,9.813117980957031,9.813117980957031,9.813117980957031,0.0,0.0,0.0,0.0,0.0,9.813117980957031,151941.92130303796,134.7176302746409,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16.52777777777778,36,39,38.72222222222222,18,393,10,3,22,21,16,33,12,9,21,30,18,22,393,12,3,33,2,16,9,18,99,130,642,38,0,60,61,73,81,601,721,1322,1491024,192.168.37.39,94.23.150.81
youtube,streaming,0.007439168081397102,2.5987625122070312e-05,0.43363380432128906,0.0334846418961985,0.015250732410209258,3.0994415283203125e-05,0.4464988708496094,0.048681533461834216,0.012961585625358249,0.000102996826171875,3.9939920902252197,0.17820637369159048,9.998241901397705,9.998241901397705,9.998241901397705,0.0,0.0,0.0,0.0,0.0,9.998241901397705,157433.1783050733,134.42363300012929,1,1,1,1,1,1,1,1,1,1,14.53191489361702,47,38,43.857142857142854,14,278,13,10,38,11,8,34,2,2,10,10,27,2,30,6,183,278,17,21,21,6,142,34,759,96,0,42,110,39,34,690,654,1344,1574055,192.168.37.39,94.23.150.81
