LABEL,CATEGORY,FLOWIAT_MEAN,FLOWIAT_MIN,FLOWIAT_MAX,FLOWIAT_STD,FIAT_MEAN,FIAT_MIN,FIAT_MAX,FIAT_STD,BIAT_MEAN,BIAT_MIN,BIAT_MAX,BIAT_STD,ACTIVE_MEAN,ACTIVE_MIN,ACTIVE_MAX,ACTIVE_STD,IDLE_MEAN,IDLE_MIN,IDLE_MAX,IDLE_STD,DURATION,FB_PSEC,FP_SEC,FIRST_PACKET_DIR_0,FIRST_PACKET_DIR_1,FIRST_PACKET_DIR_2,FIRST_PACKET_DIR_3,FIRST_PACKET_DIR_4,FIRST_PACKET_DIR_5,FIRST_PACKET_DIR_6,FIRST_PACKET_DIR_7,FIRST_PACKET_DIR_8,FIRST_PACKET_DIR_9,INCOMING_BURSTS_MEAN,INCOMING_BURSTS_COUNT,INCOMING_BURSTS_LONGEST,OUTGOING_BURSTS_MEAN,OUTGOING_BURSTS_COUNT,OUTGOING_BURSTS_LONGEST,FIRST_INCOMING_BURST_0,FIRST_INCOMING_BURST_1,FIRST_INCOMING_BURST_2,FIRST_INCOMING_BURST_3,FIRST_INCOMING_BURST_4,FIRST_INCOMING_BURST_5,FIRST_INCOMING_BURST_6,FIRST_INCOMING_BURST_7,FIRST_INCOMING_BURST_8,FIRST_INCOMING_BURST_9,FIRST_OUTGOING_BURST_0,FIRST_OUTGOING_BURST_1,FIRST_OUTGOING_BURST_2,FIRST_OUTGOING_BURST_3,FIRST_OUTGOING_BURST_4,FIRST_OUTGOING_BURST_5,FIRST_OUTGOING_BURST_6,FIRST_OUTGOING_BURST_7,FIRST_OUTGOING_BURST_8,FIRST_OUTGOING_BURST_9,SIZE_583,SIZE_595,SIZE_1500,SIZE_1097,SIZE_1138,SIZE_1109,SIZE_151,SIZE_1126,SIZE_233,TOT_IN_PACKETS,TOT_OUT_PACKETS,TOT_PACKETS,TOT_BYTES,IP_SRC,IP_DST
replaio_radio,streaming,0.03954680680018391,0.00011396408081054688,2.207766056060791,0.22479512238333013,0.49800705909729004,0.016335010528564453,2.554142951965332,0.8237783780659871,0.04279695631383539,0.00014090538024902344,2.207766056060791,0.23566897940057177,1.1475593249003093,0.728726863861084,1.8883800506591797,0.525329236685986,2.1740214824676514,2.1402769088745117,2.207766056060791,0.03374457359313965,7.7907209396362305,35312.264696885104,25.2864916515927,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13.923076923076923,13,25,2.0,1,2,14,19,4,15,25,15,17,17,15,12,2,0,0,0,0,0,0,0,0,0,10,2,168,2,0,0,0,2,1,182,15,197,275108,192.168.37.39,94.23.150.81
replaio_radio,streaming,0.048055605246470526,0.000102996826171875,2.078464984893799,0.23862131559808905,0.5381530672311783,0.07323217391967773,2.466742992401123,0.8327051720833496,0.052060239017009735,0.000102996826171875,2.078464984893799,0.2570329143575751,1.9473192691802979,0.8911159038543701,4.056073904037476,1.4911154475704076,2.076804041862488,2.0751430988311768,2.078464984893799,0.0016609430313110352,9.99556589126587,28941.532990421198,20.809227037535766,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12.0,16,20,2.0,1,2,15,17,4,12,11,6,20,10,12,16,2,0,0,0,0,0,0,0,0,0,15,1,175,0,0,0,0,0,1,192,16,208,289287,192.168.37.39,94.23.150.81
replaio_radio,streaming,0.03778604485771873,0.00011706352233886719,1.3797788619995117,0.12218722114760618,0.2296497140611921,0.004086017608642578,1.6775689125061035,0.3258101845177957,0.04493475604701687,0.00011706352233886719,1.5206348896026611,0.15207103441816638,9.975515842437744,9.975515842437744,9.975515842437744,0.0,0.0,0.0,0.0,0.0,9.975515842437744,34756.799094539034,26.464796825532943,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.037037037037036,27,17,2.5714285714285716,7,4,11,8,6,17,15,7,10,12,7,2,3,4,2,2,2,2,3,0,0,0,27,1,191,8,1,0,0,5,0,222,42,264,346717,192.168.37.39,94.23.150.81
replaio_radio,streaming,0.04679089644705186,0.00012803077697753906,1.9022910594940186,0.21911662934686996,0.514648951982197,0.07788300514221191,2.2167410850524902,0.6936543711851818,0.05137351001660848,0.00012803077697753906,1.9253180027008057,0.23558292222383515,9.966460943222046,9.966460943222046,9.966460943222046,0.0,0.0,0.0,0.0,0.0,9.966460943222046,29265.152561337018,21.37167859418104,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,9.7,20,21,0.0,0,0,9,8,5,8,10,11,12,2,9,14,0,0,0,0,0,0,0,0,0,0,17,0,175,2,0,1,2,0,0,194,19,213,291670,192.168.37.39,94.23.150.81
replaio_radio,streaming,0.04771444390459759,0.00013399124145507812,1.9927101135253906,0.2158234945500686,0.5129410028457642,0.06884598731994629,2.3047451972961426,0.7113568151847024,0.0517537619071032,0.00014495849609375,2.00764799118042,0.23286349454389585,9.781461000442505,9.781461000442505,9.781461000442505,0.0,0.0,0.0,0.0,0.0,9.781461000442505,28866.955558809284,20.958014348850952,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11.75,16,21,0.0,0,0,12,10,17,2,19,7,9,11,6,12,0,0,0,0,0,0,0,0,0,0,15,0,168,1,0,0,0,2,1,189,16,205,282361,192.168.37.39,94.23.150.81
replaio_radio,streaming,0.03881587756900337,8.606910705566406e-05,2.3285839557647705,0.23621448897930894,0.4881876468658447,0.05323290824890137,2.6597440242767334,0.8535430780983453,0.04212586696331318,8.606910705566406e-05,2.341413974761963,0.24892517397226074,1.7488839626312256,0.5292699337005615,4.0276939868927,1.612692330934401,2.3062905073165894,2.283997058868408,2.3285839557647705,0.022293448448181152,9.859232902526855,34791.144847799245,25.762653394150117,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12.88888888888889,18,23,0.0,0,0,11,14,23,7,16,17,5,16,20,18,0,0,0,0,0,0,0,0,0,0,17,0,209,1,0,0,3,1,1,234,20,254,343014,192.168.37.39,94.23.150.81
replaio_radio,streaming,0.04509244789587003,0.00013589859008789062,1.8202807903289795,0.18435321687145217,0.3687218060860267,0.010650157928466797,1.8202807903289795,0.4970968971017549,0.051328637498490357,0.00013589859008789062,1.8877828121185303,0.20851356972630603,9.649783849716187,9.649783849716187,9.649783849716187,0.0,0.0,0.0,0.0,0.0,9.649783849716187,29904.81491546439,22.176662538020896,-1,1,1,-1,-1,-1,-1,-1,-1,-1,11.4375,16,27,2.2,5,3,15,2,18,2,14,3,11,25,2,10,2,3,2,2,2,0,0,0,0,0,22,2,164,4,0,0,0,1,0,188,26,214,288575,192.168.37.39,94.23.150.81
replaio_radio,streaming,0.04913387157646893,0.00011897087097167969,1.9585518836975098,0.22936219053426274,0.5892626792192459,0.06335687637329102,2.412410020828247,0.7952490762765858,0.053337839197984994,0.00011897087097167969,2.0055019855499268,0.24411840672605206,9.974175930023193,9.974175930023193,9.974175930023193,0.0,0.0,0.0,0.0,0.0,9.974175930023193,28283.03831606307,20.352558589722808,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11.6875,16,25,2.0,1,2,14,4,10,25,2,14,15,6,14,23,2,0,0,0,0,0,0,0,0,0,14,1,172,0,0,0,1,1,0,187,16,203,282100,192.168.37.39,94.23.150.81
replaio_radio,streaming,0.03423950743319383,9.799003601074219e-05,1.6755938529968262,0.15303801547355309,0.2210561007988162,0.00013494491577148438,1.801426887512207,0.42667930521010194,0.04042373564799977,0.00011992454528808594,1.77292799949646,0.1719175571798759,9.176187992095947,9.176187992095947,9.176187992095947,0.0,0.0,0.0,0.0,0.0,9.176187992095947,38321.46859925875,29.206027626160882,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11.0,20,28,3.5,6,9,14,5,12,19,6,15,14,11,7,2,3,3,2,2,2,9,0,0,0,0,26,1,206,3,0,0,2,3,3,227,41,268,351645,192.168.37.39,94.23.150.81
replaio_radio,streaming,0.04255927247660501,0.00010204315185546875,2.231009006500244,0.20960702587904992,0.557363187565523,0.06221508979797363,2.607926845550537,0.791873111962922,0.04601488827507277,0.00010204315185546875,2.2326102256774902,0.21786016432567323,3.6511340141296387,0.532203197479248,6.770064830780029,3.1189308166503906,2.231009006500244,2.231009006500244,2.231009006500244,0.0,9.533277034759521,32123.895999601056,23.496642254627446,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12.176470588235293,17,22,0.0,0,0,13,7,12,6,18,14,7,16,17,5,0,0,0,0,0,0,0,0,0,0,16,1,182,1,0,0,1,0,1,207,17,224,306246,192.168.37.39,94.23.150.81
replaio_radio,streaming,0.041068816284754284,8.797645568847656e-05,2.3397669792175293,0.2164058442566792,0.5240695079167684,0.07622885704040527,2.6754250526428223,0.7515854579545016,0.04432348859795618,8.797645568847656e-05,2.3397669792175293,0.22819180721224971,3.7378400564193726,3.702244997024536,3.773435115814209,0.035595059394836426,2.3397669792175293,2.3397669792175293,2.3397669792175293,0.0,9.815447092056274,34184.79024471077,24.34937479245594,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13.0,17,21,2.0,1,2,14,8,17,10,4,16,18,6,15,13,2,0,0,0,0,0,0,0,0,0,15,2,204,0,0,0,0,1,1,221,18,239,335539,192.168.37.39,94.23.150.81
