APP,FLOW_TIMEOUT,ACTIVITY_TIMEOUT,CLASSIFIER,N_FEATURES,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE,PRECISION,RECALL,F1,ACCURACY
dailymotion,10,2,RandomForest,68,911,0,21054,1163,1.0,0.43924783027965286,0.6103852596314907,0.949714631615358
facebook,10,2,RandomForest,68,431,114,21208,1375,0.7908256880733945,0.23864894795127353,0.3666524883028498,0.9356191629194051
instagram,10,2,RandomForest,68,1577,1,21104,446,0.9993662864385298,0.7795353435491844,0.8758678144959733,0.9806727775856106
replaio_radio,10,2,RandomForest,68,1745,4,21317,62,0.9977129788450543,0.965688987271721,0.9814398200224972,0.9971463161535801
skype,10,2,RandomForest,68,2842,4748,15306,232,0.3744400527009223,0.9245283018867925,0.5330082520630158,0.7846765824974058
spotify,10,2,RandomForest,68,1438,0,18339,3351,1.0,0.3002714554186678,0.461859643488036,0.8551106883431339
torbrowser_alpha,10,2,RandomForest,68,857,2469,19318,484,0.2576668671076368,0.639075316927666,0.3672594814656096,0.8723192666897267
twitch,10,2,RandomForest,68,815,46,21407,860,0.9465737514518002,0.48656716417910445,0.6427444794952681,0.960826703562781
utorrent,10,2,RandomForest,68,1210,2955,18061,902,0.290516206482593,0.5729166666666666,0.38553449099888476,0.8332324455205811
youtube,10,2,RandomForest,68,965,0,20701,1462,1.0,0.3976102183765966,0.5689858490566038,0.936786579038395
