APP,FLOW_TIMEOUT,ACTIVITY_TIMEOUT,CLASSIFIER,N_FEATURES,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE,PRECISION,RECALL,F1,ACCURACY
dailymotion,10,2,SVC,68,844,66,21155,1236,0.9274725274725275,0.40576923076923077,0.5645484949832775,0.9441225698467877
facebook,10,2,SVC,68,383,146,21333,1439,0.724007561436673,0.21020856201975852,0.3258188005104211,0.9319771683618728
instagram,10,2,SVC,68,1316,152,21122,711,0.896457765667575,0.6492353231376419,0.7530758226037196,0.9629629629629629
replaio_radio,10,2,SVC,68,1714,27,21467,93,0.9844916714531878,0.9485334809075816,0.9661781285231116,0.994850006437492
skype,10,2,SVC,68,1605,14,20192,1490,0.9913526868437307,0.518578352180937,0.6809503606279168,0.9354534140165658
spotify,10,2,SVC,68,1301,142,18258,3600,0.9015939015939016,0.26545602938175883,0.4101513240857503,0.8394060340757907
torbrowser_alpha,10,2,SVC,68,570,63,21896,772,0.9004739336492891,0.4247391952309985,0.5772151898734177,0.9641646281275482
twitch,10,2,SVC,68,761,68,21557,915,0.9179734620024126,0.45405727923627687,0.6075848303393214,0.9578129694004549
utorrent,10,2,SVC,68,2118,10975,10206,2,0.16176582906896816,0.9990566037735849,0.278446065864721,0.5289043388695764
youtube,10,2,SVC,68,894,142,20728,1537,0.862934362934363,0.36774989716166184,0.5157196423420825,0.9279430067379082
