APP,FLOW_TIMEOUT,ACTIVITY_TIMEOUT,CLASSIFIER,N_FEATURES,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE,PRECISION,RECALL,F1,ACCURACY
dailymotion,10,2,KNN,68,967,2977,18414,1127,0.24518255578093306,0.4617956064947469,0.3203047366677708,0.8252501596763892
facebook,10,2,KNN,68,305,393,21255,1532,0.4369627507163324,0.16603157321720197,0.24063116370808682,0.9180327868852459
instagram,10,2,KNN,68,1006,333,21119,1027,0.7513069454817027,0.49483521888834237,0.5966785290628707,0.9420906961890568
replaio_radio,10,2,KNN,68,1670,109,21564,142,0.9387296233839235,0.9216335540838853,0.9301030353661932,0.989312327017245
skype,10,2,KNN,68,1674,464,19911,1436,0.7829747427502338,0.5382636655948553,0.6379573170731708,0.9190972961464765
spotify,10,2,KNN,68,1168,226,18294,3797,0.8378766140602583,0.2352467270896274,0.36735335744613934,0.8286991696827762
torbrowser_alpha,10,2,KNN,68,342,90,22043,1010,0.7916666666666666,0.2529585798816568,0.3834080717488789,0.9531615925058547
twitch,10,2,KNN,68,675,284,21501,1025,0.7038581856100105,0.39705882352941174,0.5077096652877021,0.9442622950819672
utorrent,10,2,KNN,68,1746,8097,13255,387,0.1773849436147516,0.8185654008438819,0.29158316633266534,0.6387481371087929
youtube,10,2,KNN,68,698,261,20775,1751,0.7278415015641293,0.28501429154757046,0.40962441314554,0.9143282946561635
